rxn_id,ok,n_atoms,rmsd_R_TS,shift,inter_R,inter_TS,p_order_ok,hit_cap,n_iso_max,max_disp_heavy,max_disp_h,recovery_used,reused,reason
3117,True,64.0,2.2518678223404485,2.3209007698060304,2.6100537212292583,2.2608261500831945,True,False,128.0,3.380614641956292,3.847553857094031,,True,
3118,True,64.0,2.2167091984043763,2.4125958552649536,2.475000000002433,2.3175355705576557,True,False,128.0,2.228566751106808,2.9659337004454907,,True,
3119,True,60.0,2.5001792720081037,1.1906962162902346,2.1600000000049175,2.1757766691000255,True,False,1296.0,4.425664783502699,4.213514292766166,,True,
3120,True,60.0,2.968122134494313,2.8868989800685085,2.7450000000084436,2.0938194646864856,True,False,1296.0,3.795052114857446,4.827428865876304,,True,
3121,True,67.0,2.1325097799317634,2.3617958508912125,3.1950000000015444,2.4131233455420387,True,False,432.0,3.5148275139953444,3.192322389008555,,True,
3124,True,74.0,3.0855369960241203,2.453729291253694,2.448000000009339,2.25962685941728,True,True,5000.0,4.770481631502861,5.208410594883533,,True,
3125,True,77.0,2.922619240453363,2.5615941811192897,2.1600000000025963,2.2103126722932176,True,False,4608.0,5.234433608587102,5.81211070705187,,True,
3126,True,77.0,1.556757059236074,1.1189530193332757,2.4030000000059903,2.206415256745657,True,False,4608.0,4.399441440121326,3.994299337328969,,True,
3127,True,51.0,1.4173347990707794,1.2151867402644712,2.841363661727794,2.1880644436807617,True,False,216.0,2.7223601729856575,3.351126355364818,,True,
3128,True,51.0,2.3530167482145243,2.1803252466961567,2.745000000004343,2.1371901012544483,True,False,216.0,3.96132131734678,4.1460689570427975,,True,
3130,True,77.0,1.8881255037206106,1.8555056061959476,2.1600000000007227,2.311267096421355,True,False,288.0,1.9161565063135442,3.10829982307988,,True,
3131,True,67.0,2.2276918358514646,0.6718235163280042,2.3131464105434305,2.3457620762984464,True,True,5000.0,3.8544936333346738,5.26009578844818,,True,
3132,True,67.0,2.012230422037246,1.629727880776045,2.533359399548812,2.0406336168455135,True,True,5000.0,4.545982907996234,3.4562782307830133,,True,
3133,True,77.0,2.95985625276063,1.5143951195241243,2.16000000000168,2.5093970414025755,True,False,1536.0,6.109699310661367,6.097923248634264,,True,
3134,True,77.0,3.129793580118007,2.546060129203397,2.1600000000064425,2.4027576669735122,True,False,1536.0,6.112484432677941,6.351284643069765,,True,
3135,True,62.0,2.1637262716437893,1.1670773756814015,2.16000000000222,2.5119734544775745,True,True,5000.0,6.868442607445863,4.366148033118067,,True,
3136,True,62.0,2.4162912962725573,2.2509731555146573,2.44800000000938,2.2397039795696214,True,True,5000.0,6.3444901479974165,4.33277146430269,,True,
3137,True,75.0,2.838056978853798,3.5733442627788463,2.1600000000065114,2.173130077698986,True,False,768.0,4.100400373963201,3.357682991860685,,True,
3138,True,75.0,1.9524417282625612,1.9990357707138173,2.669962560489591,2.2303919816480677,True,False,768.0,5.613624288804994,4.2995621718803,,True,
