rxn_id,ok,rmsd,ref_d1,ref_d2,gen_d1,gen_d2,dd1,dd2
176,True,0.8085573474451899,2.47967265029076,2.3011012251311325,2.559013498236576,2.3963322217276133,0.07934084794581642,0.09523099659648082
177,True,0.9139907894660003,2.455637529970578,2.368649906592361,2.7429362804669744,2.368670390032982,0.2872987504963964,2.0483440620999716e-05
178,True,0.4900077588767431,2.245568526609687,2.4532353662255892,2.2282016131840496,2.5255769759692535,-0.017366913425637343,0.07234160974366421
179,True,0.22694559893715335,2.5978397495034216,2.206477519237393,2.5091297103627386,2.371118412897171,-0.08871003914068298,0.16464089365977808
180,True,0.28959851889439275,2.912926389269046,2.3041934473693826,2.5509331726389854,2.2193925353443,-0.36199321663006057,-0.08480091202508255
181,True,0.3658142387078226,2.529970749099681,2.3445638901510018,2.6526161103866874,2.4776477027378205,0.12264536128700643,0.13308381258681878
182,True,1.1085183799223481,2.0131002165317056,2.6708801551174104,2.246468615469622,3.1108798929320622,0.2333683989379165,0.43999973781465185
183,True,0.2945646364375935,2.5781135629758434,1.849206087865817,2.3485858168546874,1.8494444685537328,-0.229527746121156,0.0002383806879158179
184,True,0.31829194104543157,2.2409616247048945,2.0380217379851473,2.471290635319124,2.145584985622802,0.23032901061422972,0.10756324763765468
185,True,0.0861916937422603,2.2853379206148046,1.933381772258133,2.416398961559742,2.007159960239592,0.13106104094493753,0.07377818798145896
186,True,0.8767376334139857,2.402405327354233,2.4566974625500797,2.8621097089557903,2.2801579927323017,0.45970438160155735,-0.17653946981777802
187,True,0.47069066998637943,2.3568936426788545,2.4690445141592727,2.470254195981863,2.5285314688571705,0.11336055330300843,0.059486954697897776
188,True,0.8573561576881927,2.5015941107421886,2.3412836568216164,2.332053487248309,2.764938663209186,-0.16954062349387966,0.4236550063875697
189,True,0.45696923655554694,2.1556182615203463,2.6762174182416496,2.2862292661430526,2.3897962529422876,0.13061100462270625,-0.286421165299362
190,True,0.5261660782867797,2.267865297013912,2.3705513262952143,2.559041441455765,2.5582399397779327,0.2911761444418528,0.18768861348271848
191,True,0.6741787612343363,2.1967361120079945,2.5019870479680746,2.314610189155185,2.757116303302057,0.11787407714719045,0.25512925533398256
192,True,0.1674312341734331,2.947217807441452,2.7282228359318452,2.772313374458414,2.480304895216312,-0.17490443298303804,-0.2479179407155332
193,True,0.15005239836566836,2.578877115839372,2.7749613638031074,2.5109007897364246,2.6325393909643595,-0.06797632610294757,-0.1424219728387479
194,True,0.1818207500832325,2.402233203875094,2.509755717574919,2.4048699314293485,2.3508436474106484,0.002636727554254481,-0.15891207016427078
195,True,1.3676868773401192,2.9221250010565942,2.2416066715416423,2.888688381862952,2.210527563135099,-0.03343661919364216,-0.031079108406543376
196,True,0.9350834497524853,2.3441181683951005,2.7287435462864584,2.4585008862471454,2.5493097259511246,0.1143827178520449,-0.17943382033533384
197,True,0.1545344509452144,2.69787733861271,2.356235872084966,2.6414990775790557,2.3893261943876563,-0.05637826103365429,0.03309032230269038
198,True,0.42131411961751053,2.211826678630132,2.7318388385298285,2.273796339618392,2.5890054983244046,0.06196966098826007,-0.14283334020542382
199,True,0.2437520972314579,2.8772823440705295,2.3422408814850786,2.760986978640247,2.370746589117234,-0.11629536543028252,0.02850570763215554
200,True,0.1722794420375222,2.676347946530869,2.3829835902498364,2.330615377696629,2.453143503268001,-0.3457325688342401,0.07015991301816449
201,True,0.35397222729235384,2.502206483965702,2.4568188161930054,2.4022180534068927,2.5251008557524988,-0.09998843055880924,0.06828203955949341
202,True,0.1822646766774212,2.2642800230095217,2.81702038015347,2.2760196055067277,2.593449814807489,0.01173958249720597,-0.22357056534598074
203,True,0.22478385376301013,2.2308833432745874,2.05231412386116,2.252984926446247,2.36405230737689,0.022101583171659556,0.31173818351573024
204,True,1.0911343245850715,2.5309393167162266,1.96009061798173,2.343709658541561,2.062269449039092,-0.18722965817466575,0.10217883105736192
205,True,1.5317710617742069,4.363341946043192,2.2106033388873727,3.0726923905872843,2.533033738623708,-1.290649555455908,0.32243039973633536
206,True,1.884714226760933,2.192540789517951,2.750141654624358,2.3188759436752973,1.838875005956359,0.12633515415734609,-0.911266648667999
207,True,1.033377751332503,2.24458670935208,2.4543139965986422,2.335848993811458,2.745790076166421,0.09126228445937778,0.2914760795677789
208,True,0.42420290231361507,2.5844874061407226,2.2445550431210193,2.4785723828726485,2.7368840559048166,-0.10591502326807412,0.49232901278379737
209,True,0.763036915105204,3.3055951227577767,2.144841706839925,2.76388640721738,2.492299782256942,-0.5417087155403966,0.3474580754170171
210,True,0.8328970421090066,2.396087440098963,2.4534900836970994,2.5808912862344666,2.4856190069208113,0.1848038461355035,0.03212892322371186
211,True,1.0414534025229605,3.3855521687754275,2.3803550692491235,2.586155290383004,2.4913482352156233,-0.7993968783924235,0.11099316596649977
212,True,0.5171429036366457,2.672260608698186,2.709335842840455,2.487834749644558,2.690401133405574,-0.1844258590536283,-0.018934709434880848
213,True,0.19051957282566273,2.9289552825026197,2.6706000613158083,2.681696531351003,2.4315168970539767,-0.24725875115161688,-0.23908316426183163
214,True,0.15325295409622888,2.6957341862654043,2.7270435923725165,2.5850763894053497,2.7052258137543714,-0.11065779686005461,-0.021817778618145045
215,True,0.1422200107494778,2.7026554472222317,2.6591538088083584,2.5952659796078708,2.548450212087927,-0.10738946761436097,-0.11070359672043129
216,True,1.5911105149057592,2.453325440172991,2.0552867385355262,2.5891496925347903,2.788790264881531,0.1358242523617994,0.7335035263460048
217,True,0.4452097274054228,2.2226797415282302,2.2474113569616048,2.631508586514777,2.464950377250626,0.4088288449865467,0.21753902028902106
218,True,0.22042247085049918,2.7118512151296206,2.284963535485851,2.352265866094647,1.9937722360164412,-0.3595853490349734,-0.2911912994694099
219,True,0.42314853488365206,2.342189623963013,2.3708078277456397,2.169482557276965,2.3723278241748122,-0.17270706668604818,0.0015199964291725543
220,True,0.4075126406904048,1.866009117260685,2.6670963210390433,2.137863819845642,2.5757844635594025,0.2718547025849569,-0.09131185747964077
221,True,0.20867691247966805,2.214174613236273,2.2792879447099264,2.4586374278632466,2.131088824053329,0.2444628146269734,-0.14819912065659757
222,True,0.30302219049558193,2.54023810023785,2.049659864367744,2.4620679584913976,2.0270550637328526,-0.07817014174645243,-0.022604800634891564
