arm,split,seed,fold,channel,train_mae,test_mae,n_train,n_test
A_diff,component,45,1,disp_dft,0.02475147283338692,0.9105296880065558,1394,387
A_diff,component,45,1,cpcm_dft,0.053780551810017806,2.3336272578345434,1394,387
A_diff,component,45,2,d1_own_dft,0.03821757876571597,2.21227097617622,1394,387
A_diff,component,45,2,d2_own_dft,0.027419082695869505,1.953663126235706,1394,387
A_diff,component,45,2,elst_dft,0.0771618941471127,5.133436849945852,1394,387
A_diff,component,45,2,pauli_dft,0.1299676941436232,9.82841400294268,1394,387
A_diff,component,45,2,oi_dft,0.06915835155689501,5.683338041042076,1394,387
A_diff,component,45,2,disp_dft,0.024318492676768125,1.328316338901914,1394,387
A_diff,component,45,2,cpcm_dft,0.05011845927967547,2.95539703887478,1394,387
A_diff,component,45,3,d1_own_dft,0.036577095643530184,2.626929875286563,1394,387
A_diff,component,45,3,d2_own_dft,0.03004694330696254,2.158665649292901,1394,387
A_diff,component,45,3,elst_dft,0.07035547408403156,5.171538642075275,1394,387
A_diff,component,45,3,pauli_dft,0.12144643887641673,9.140261578059278,1394,387
A_diff,component,45,3,oi_dft,0.06543643727991717,5.138947248930115,1394,387
A_diff,component,45,3,disp_dft,0.0214704169060274,1.4338638147214078,1394,387
A_diff,component,45,3,cpcm_dft,0.04609576165612918,2.4950159531148715,1394,387
A_diff,component,45,4,d1_own_dft,0.036935560910176135,2.0103722095365386,1394,387
A_diff,component,45,4,d2_own_dft,0.02986150530265898,1.996261847274963,1394,387
A_diff,component,45,4,elst_dft,0.07360952540565562,5.340263286886409,1394,387
A_diff,component,45,4,pauli_dft,0.11570268796134069,9.360364454051783,1394,387
A_diff,component,45,4,oi_dft,0.06732458807926478,5.871616397643794,1394,387
A_diff,component,45,4,disp_dft,0.020965480792882282,1.311187022355581,1394,387
A_diff,component,45,4,cpcm_dft,0.04267250273614189,2.4869040331851893,1394,387
A_diff,component,46,0,d1_own_dft,0.04113451271384344,1.755961772511796,1393,388
A_diff,component,46,0,d2_own_dft,0.03240228102703384,2.129638877212946,1393,388
A_diff,component,46,0,elst_dft,0.09674639534454872,3.3250549651226353,1393,388
A_diff,component,46,0,pauli_dft,0.12704749939320883,6.998667516195211,1393,388
A_diff,component,46,0,oi_dft,0.07886927175630655,3.692652958090462,1393,388
A_diff,component,46,0,disp_dft,0.031247688819054095,1.1641718397417797,1393,388
A_diff,component,46,0,cpcm_dft,0.04204788446202685,2.532988766213577,1393,388
A_diff,component,46,1,d1_own_dft,0.03642878512043745,1.7847379927626845,1394,387
A_diff,component,46,1,d2_own_dft,0.03475190922509625,1.376502483487663,1394,387
A_diff,component,46,1,elst_dft,0.078380389714188,4.177611486132018,1394,387
A_diff,component,46,1,pauli_dft,0.13213776795334062,6.857033197070577,1394,387
A_diff,component,46,1,oi_dft,0.08773982241244661,3.850285516387517,1394,387
A_diff,component,46,1,disp_dft,0.035401753494139404,0.8973642155068196,1394,387
A_diff,component,46,1,cpcm_dft,0.04864889754068978,2.3300826127398784,1394,387
A_diff,component,46,2,d1_own_dft,0.03675925481866914,2.206288651430821,1394,387
A_diff,component,46,2,d2_own_dft,0.028282203365803598,1.9536540643606313,1394,387
A_diff,component,46,2,elst_dft,0.08006706946515366,5.2806267365027235,1394,387
A_diff,component,46,2,pauli_dft,0.11288104873882839,10.000838771714243,1394,387
A_diff,component,46,2,oi_dft,0.07169372005184586,5.636335568209103,1394,387
A_diff,component,46,2,disp_dft,0.02368394003284209,1.3499636591687865,1394,387
A_diff,component,46,2,cpcm_dft,0.04553298389191894,2.9092033017135814,1394,387
A_diff,component,46,3,d1_own_dft,0.0710526072404048,2.4781795183197626,1394,387
A_diff,component,46,3,d2_own_dft,0.029013883480811433,2.15638553550392,1394,387
A_diff,component,46,3,elst_dft,0.0756133225043175,5.00329490878947,1394,387
A_diff,component,46,3,pauli_dft,0.10764137813877923,8.95321406628529,1394,387
A_diff,component,46,3,oi_dft,0.06585845387410946,5.173790698145384,1394,387
A_diff,component,46,3,disp_dft,0.02136340589168901,1.441288580383467,1394,387
A_diff,component,46,3,cpcm_dft,0.04546697496500532,2.5524501909565385,1394,387
A_diff,component,46,4,d1_own_dft,0.03603345110112238,2.1167642872113266,1394,387
A_diff,component,46,4,d2_own_dft,0.034363423404584856,2.0572899518736154,1394,387
A_diff,component,46,4,elst_dft,0.07800521400125295,5.41025181633342,1394,387
A_diff,component,46,4,pauli_dft,0.13994035404743882,9.71689352767576,1394,387
A_diff,component,46,4,oi_dft,0.077907173001676,5.914889129826202,1394,387
A_diff,component,46,4,disp_dft,0.020840613943386488,1.2686030066182985,1394,387
A_diff,component,46,4,cpcm_dft,0.0825400515737961,2.357493189401372,1394,387
B_concat,component,42,0,d1_own_dft,0.05013325950499637,2.7716861201205023,1393,388
B_concat,component,42,0,d2_own_dft,0.03635536301844655,3.1223601217958343,1393,388
B_concat,component,42,0,elst_dft,0.09259943149929759,3.6386688139634993,1393,388
B_concat,component,42,0,pauli_dft,0.14391994838174357,7.709700006812958,1393,388
B_concat,component,42,0,oi_dft,0.08328395934653372,4.7426634647296595,1393,388
B_concat,component,42,0,disp_dft,0.021193044221912264,1.3783475324329044,1393,388
B_concat,component,42,0,cpcm_dft,0.052418799970380944,2.990235706736618,1393,388
B_concat,component,42,1,d1_own_dft,0.04204371504717438,2.2699446176067544,1394,387
B_concat,component,42,1,d2_own_dft,0.044399053018913004,1.8038673937573786,1394,387
B_concat,component,42,1,elst_dft,0.10168462757888569,4.878791355625341,1394,387
B_concat,component,42,1,pauli_dft,0.17468732529858114,7.610893501403928,1394,387
B_concat,component,42,1,oi_dft,0.0937624565258944,4.477266354840037,1394,387
B_concat,component,42,1,disp_dft,0.024059087100763633,1.336832183343393,1394,387
B_concat,component,42,1,cpcm_dft,0.05420378467288388,2.718007016094407,1394,387
B_concat,component,42,2,d1_own_dft,0.039740531279873946,2.672507976762295,1394,387
B_concat,component,42,2,d2_own_dft,0.03590776445080116,2.3853348663041523,1394,387
B_concat,component,42,2,elst_dft,0.07938164390632407,6.107392625430685,1394,387
B_concat,component,42,2,pauli_dft,0.15360488041359724,10.637806169575766,1394,387
B_concat,component,42,2,oi_dft,0.08984388649571,6.206884802467726,1394,387
B_concat,component,42,2,disp_dft,0.022984873433813013,1.5991845963588784,1394,387
B_concat,component,42,2,cpcm_dft,0.04503985835764442,3.086621105216778,1394,387
B_concat,component,42,3,d1_own_dft,0.046876097244408034,2.861750686325691,1394,387
B_concat,component,42,3,d2_own_dft,0.03899984807160138,2.6234913515881635,1394,387
B_concat,component,42,3,elst_dft,0.09073616125321009,5.291960778857565,1394,387
B_concat,component,42,3,pauli_dft,0.16477851439883476,10.250113127216723,1394,387
B_concat,component,42,3,oi_dft,0.0933933794689328,5.453891501170205,1394,387
B_concat,component,42,3,disp_dft,0.022723223800319985,1.6717122537652023,1394,387
B_concat,component,42,3,cpcm_dft,0.04861754897301116,2.6492822598067027,1394,387
B_concat,component,42,4,d1_own_dft,0.040661029191010736,2.5523973812263,1394,387
B_concat,component,42,4,d2_own_dft,0.03992761339703464,2.6770835203830416,1394,387
B_concat,component,42,4,elst_dft,0.07759189780207185,5.593416860980891,1394,387
B_concat,component,42,4,pauli_dft,0.15056948827698302,10.326255967657909,1394,387
B_concat,component,42,4,oi_dft,0.08086446685064336,6.323065989197053,1394,387
B_concat,component,42,4,disp_dft,0.021594427114436383,1.6054405604826916,1394,387
B_concat,component,42,4,cpcm_dft,0.05066583605789845,2.6881226205859434,1394,387
B_concat,component,43,0,d1_own_dft,0.047818936885965405,2.543761963411499,1393,388
B_concat,component,43,0,d2_own_dft,0.03861902336424186,2.9804331112663824,1393,388
B_concat,component,43,0,elst_dft,0.0835335570359081,3.7420103541086664,1393,388
B_concat,component,43,0,pauli_dft,0.15614550265420338,7.8238919778831795,1393,388
B_concat,component,43,0,oi_dft,0.0783650654956021,4.826558236819924,1393,388
B_concat,component,43,0,disp_dft,0.022408225762732784,1.4459386885762746,1393,388
B_concat,component,43,0,cpcm_dft,0.05211550888351328,2.9999148381496283,1393,388
B_concat,component,43,1,d1_own_dft,0.04061548230692389,2.1311407224118852,1394,387
B_concat,component,43,1,d2_own_dft,0.042549737794247304,1.8144293444042159,1394,387
B_concat,component,43,1,elst_dft,0.08916299041558975,4.709527993747236,1394,387
B_concat,component,43,1,pauli_dft,0.15586153203122222,7.546474457730575,1394,387
B_concat,component,43,1,oi_dft,0.09055417826192712,4.577836358989287,1394,387
B_concat,component,43,1,disp_dft,0.024405313583212563,1.431454724341921,1394,387
