arm,channel,swap_type,n,mae_delta
A_diff,d2_own_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,1.7355171873911561
A_diff,d2_own_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,1.2099180712402657
A_diff,d2_own_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,2.1728970760142996
A_diff,d2_own_dft,*C(=O)OC([H])([H])[H]>>*[H],265,2.1800165434209147
A_diff,d2_own_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,1.471545048186106
A_diff,d2_own_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,1.0557948197895686
A_diff,d2_own_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,2.45183800118247
A_diff,d2_own_dft,*C([H])([H])[H]>>*[H],445,1.9894115605840152
A_diff,d2_own_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,1.3433131865553707
A_diff,d2_own_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,3.4078461135186564
A_diff,d2_own_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,2.4167522517355446
A_diff,d2_own_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,1.6674833812885883
A_diff,disp_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,2.1199841971407616
A_diff,disp_dft,*Br>>*C#N,10,1.8785262294224432
A_diff,disp_dft,*Br>>*Cl,30,1.525433191757452
A_diff,disp_dft,*C#N>>*C(=O)C([H])([H])[H],490,1.0497198551340292
A_diff,disp_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,0.8518820280713029
A_diff,disp_dft,*C#N>>*C(=O)OC([H])([H])[H],305,1.1953918335996747
A_diff,disp_dft,*C#N>>*C([H])([H])[H],500,0.9435592504588234
A_diff,disp_dft,*C#N>>*F,20,1.4158831572902166
A_diff,disp_dft,*C#N>>*[H],125,1.4331148786227252
A_diff,disp_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,1.065417773826157
A_diff,disp_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,0.9496082586073146
A_diff,disp_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,0.9827422475076661
A_diff,disp_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,1.0233573167177497
A_diff,disp_dft,*C(=O)C([H])([H])[H]>>*[H],60,1.1071117270923447
A_diff,disp_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,0.9308605190905415
A_diff,disp_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,1.152794516458999
A_diff,disp_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,0.8893777599479237
A_diff,disp_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,1.4115708128353
A_diff,disp_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,2.5327802279355884
A_diff,disp_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,0.8619830774303717
A_diff,disp_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,1.090234326099315
A_diff,disp_dft,*C(=O)OC([H])([H])[H]>>*[H],265,2.0965686932473124
A_diff,disp_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,1.054864141807962
A_diff,disp_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,0.9271953148406297
A_diff,disp_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,0.6617030593504515
A_diff,disp_dft,*C([H])([H])[H]>>*[H],445,1.7845835844742883
A_diff,disp_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,1.0989912556534063
A_diff,disp_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,3.695402728512522
A_diff,disp_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,1.4694152815816195
A_diff,disp_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,2.5303437803241287
A_diff,elst_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,6.885930177662203
A_diff,elst_dft,*Br>>*C#N,10,4.548373494427328
A_diff,elst_dft,*Br>>*Cl,30,10.740422969607371
A_diff,elst_dft,*C#N>>*C(=O)C([H])([H])[H],490,2.4442756451823975
A_diff,elst_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,3.466158637482808
A_diff,elst_dft,*C#N>>*C(=O)OC([H])([H])[H],305,3.371317471345618
A_diff,elst_dft,*C#N>>*C([H])([H])[H],500,5.0201151021101715
A_diff,elst_dft,*C#N>>*F,20,6.5088005498907595
A_diff,elst_dft,*C#N>>*[H],125,4.6545159905461935
A_diff,elst_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,5.504977270900105
A_diff,elst_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,3.6486143744364545
A_diff,elst_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,4.052754990470559
A_diff,elst_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,3.312453774921894
A_diff,elst_dft,*C(=O)C([H])([H])[H]>>*[H],60,6.064164172272046
A_diff,elst_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,4.165581653867251
