arm,split,channel,bin,n,sign_acc
B_concat,swaptype_holdout,d1_own_dft,"[1,2)",1380,0.8717391304347826
B_concat,swaptype_holdout,d1_own_dft,"[2,3)",990,0.9050505050505051
B_concat,swaptype_holdout,d1_own_dft,"[3,5)",1275,0.9184313725490196
B_concat,swaptype_holdout,d1_own_dft,"[5,10)",1660,0.9680722891566265
B_concat,swaptype_holdout,d1_own_dft,"[10,inf)",2645,0.9931947069943289
B_concat,swaptype_holdout,d2_own_dft,"[0,1)",1725,0.6260869565217392
B_concat,swaptype_holdout,d2_own_dft,"[1,2)",1310,0.7274809160305343
B_concat,swaptype_holdout,d2_own_dft,"[2,3)",915,0.8043715846994536
B_concat,swaptype_holdout,d2_own_dft,"[3,5)",1430,0.9195804195804196
B_concat,swaptype_holdout,d2_own_dft,"[5,10)",1945,0.9568123393316196
B_concat,swaptype_holdout,d2_own_dft,"[10,inf)",2355,0.9961783439490446
B_concat,swaptype_holdout,disp_dft,"[0,1)",2665,0.6191369606003753
B_concat,swaptype_holdout,disp_dft,"[1,2)",2325,0.803010752688172
B_concat,swaptype_holdout,disp_dft,"[2,3)",1555,0.9041800643086817
B_concat,swaptype_holdout,disp_dft,"[3,5)",1935,0.9431524547803618
B_concat,swaptype_holdout,disp_dft,"[5,10)",1170,0.9957264957264957
B_concat,swaptype_holdout,disp_dft,"[10,inf)",30,1.0
B_concat,swaptype_holdout,elst_dft,"[0,1)",1130,0.5327433628318584
B_concat,swaptype_holdout,elst_dft,"[1,2)",1135,0.5929515418502203
B_concat,swaptype_holdout,elst_dft,"[2,3)",950,0.6294736842105263
B_concat,swaptype_holdout,elst_dft,"[3,5)",1650,0.7921212121212121
B_concat,swaptype_holdout,elst_dft,"[5,10)",2710,0.8623616236162361
B_concat,swaptype_holdout,elst_dft,"[10,inf)",2105,0.9111638954869359
B_concat,swaptype_holdout,oi_dft,"[0,1)",1050,0.5019047619047619
B_concat,swaptype_holdout,oi_dft,"[1,2)",1100,0.6327272727272727
B_concat,swaptype_holdout,oi_dft,"[2,3)",925,0.7232432432432433
B_concat,swaptype_holdout,oi_dft,"[3,5)",1500,0.7933333333333333
B_concat,swaptype_holdout,oi_dft,"[5,10)",2605,0.8683301343570058
B_concat,swaptype_holdout,oi_dft,"[10,inf)",2500,0.896
B_concat,swaptype_holdout,pauli_dft,"[0,1)",685,0.5226277372262774
B_concat,swaptype_holdout,pauli_dft,"[1,2)",685,0.581021897810219
B_concat,swaptype_holdout,pauli_dft,"[2,3)",615,0.5756097560975609
B_concat,swaptype_holdout,pauli_dft,"[3,5)",1070,0.677570093457944
B_concat,swaptype_holdout,pauli_dft,"[5,10)",2055,0.8330900243309003
