arm,split,seed,channel,n,mae_delta,median_err,sign_acc,spearman,slope
A_diff,swaptype_holdout,44,elst_dft,1936.0,4.351287381462719,3.041880927998008,0.7711776859504132,0.7112236669120474,0.49345636016313454
A_diff,swaptype_holdout,44,oi_dft,1936.0,4.412067791812403,2.9441727424269146,0.8026859504132231,0.748463814659169,0.6185676041856359
A_diff,swaptype_holdout,44,pauli_dft,1936.0,7.596285907879921,4.9728987967407505,0.7897727272727273,0.7491829899175557,0.5234569924939755
A_diff,swaptype_holdout,45,cpcm_dft,1936.0,2.5413968006979157,2.0919485106759446,0.8125,0.8419572531275639,0.7578442302652509
A_diff,swaptype_holdout,45,d1_own_dft,1936.0,1.8533219514688826,1.183761064516367,0.9028925619834711,0.9462075527756527,0.8848030337168336
A_diff,swaptype_holdout,45,d2_own_dft,1936.0,1.807470651769662,1.1935366540347605,0.8822314049586777,0.9314166836422324,0.9085252621093378
A_diff,swaptype_holdout,45,disp_dft,1936.0,1.1812718646793468,0.8839704849325054,0.868801652892562,0.8773027392130076,0.701237745119155
A_diff,swaptype_holdout,45,elst_dft,1936.0,4.368001175434734,3.0341571415646555,0.7742768595041323,0.702688241659821,0.4765882960122532
A_diff,swaptype_holdout,45,oi_dft,1936.0,4.389439045048191,2.8932310287226315,0.7985537190082644,0.748785179565434,0.6187727885969503
A_diff,swaptype_holdout,45,pauli_dft,1936.0,7.657673931065921,5.023617693295073,0.7990702479338843,0.7500508456643081,0.510938892292622
A_diff,swaptype_holdout,46,cpcm_dft,1936.0,2.520914959208147,2.083983427713161,0.8228305785123967,0.8475628296860755,0.7631069712238436
A_diff,swaptype_holdout,46,d1_own_dft,1936.0,1.8642959876115195,1.16024331241446,0.8997933884297521,0.9449120202649722,0.8875032904951742
A_diff,swaptype_holdout,46,d2_own_dft,1936.0,1.817735320253154,1.2832050093795093,0.8863636363636364,0.9325374232258749,0.9099845315337994
A_diff,swaptype_holdout,46,disp_dft,1936.0,1.2035173676614153,0.9123445060543602,0.8600206611570248,0.8732465613192658,0.6900587298173847
A_diff,swaptype_holdout,46,elst_dft,1936.0,4.40133142306521,3.1348277063003884,0.7567148760330579,0.6977378392520921,0.4832017003489882
