size_target,size_actual,fold,member,arm,nmae_strain,mae_strain,rmse_strain,nmae_Pauli,mae_Pauli,rmse_Pauli,nmae_elst,mae_elst,rmse_elst,nmae_oi,mae_oi,rmse_oi,nmae_disp,mae_disp,rmse_disp,nmae_barrier,mae_barrier,rmse_barrier
500,500,4,0,xgb_delta,0.2322720776068077,5.18033658942351,7.702146799509241,0.1899333614456936,15.238091343488449,27.008943970295235,0.2602916766101178,9.305730012746958,15.967109814786493,0.13912055422014802,7.6525126703274555,12.618681056184291,0.14811721239176437,0.8261561271471854,1.3983437738251538,0.3496205184997355,9.011126871483448,12.177381444775987
600,600,0,0,xgb_base,0.23501370258303347,5.270260036181492,8.066092411141485,0.23894871550631286,17.445686801983292,32.60477739788979,0.30865114163668533,10.600638699379695,17.136368333561556,0.1729997586847169,8.73096084670656,16.159171217272284,0.13958583649388304,0.8483040518821425,1.4557692675831158,0.3013418871841911,8.636738749636207,12.267429195228626
600,600,0,0,xgb_delta,0.23518725738482713,5.274152060033409,8.066518364203198,0.23880090285399624,17.43489497482397,32.60979171217414,0.3086251001935639,10.599744304729875,17.137041938687236,0.17299205513291085,8.730572063452119,16.158451947030464,0.1395695913417881,0.8482053253301389,1.4556450655259043,0.3015231149135395,8.64193290491013,12.273242539160139
600,600,1,0,xgb_base,0.2551791443928902,5.65686892248263,9.763467776646928,0.17864694882899834,15.24401892826056,27.068840218469695,0.25832592791648223,9.61144632974248,14.601273206622723,0.14700356704455936,8.441284223726601,14.924511116665968,0.15911809772550625,0.9565614004423664,1.9857831547380194,0.3086484707903741,8.589579890677884,12.36805718412863
600,600,1,0,xgb_delta,0.2551788532551985,5.656862468476508,9.763474312710382,0.1786466963667054,15.24399738554742,27.068850135129306,0.2583258223689177,9.611442402669578,14.601281412728513,0.14700330745074355,8.441269317250343,14.924505155976771,0.1591191435859436,0.9565676877832716,1.9858046932111457,0.30864773325843503,8.589559365419825,12.368049417362975
600,600,2,0,xgb_base,0.2322737387392893,5.365775804990416,8.080630147251727,0.20304135192561484,16.91846333263786,31.948886864358816,0.25725133913732073,9.721338559108176,16.974359074897368,0.1473430223923287,8.029894712434453,15.818336526631303,0.1477116605106828,0.8514341275403454,1.4202393783478366,0.2993183217313928,8.75740391965125,12.90845437862511
600,600,2,0,xgb_delta,0.23227393131501053,5.365780253698872,8.08063213087824,0.20304128100360086,16.918457423046135,31.94888165865251,0.25725086165532757,9.72132051541547,16.974348545888166,0.14734300510205164,8.02989377014956,15.818334498892586,0.14771605043834415,0.8514594318001134,1.4202563421064855,0.29931825000047196,8.757401820960318,12.908452254266896
600,600,3,0,xgb_base,0.22150825355716683,5.717202785687569,9.356185894009606,0.20995957227581138,17.974183602210804,31.474769670261427,0.26971748295899933,10.347832300724127,17.673518746974324,0.13380394281188507,7.800618760096721,14.456220140907305,0.1609922482164624,0.9152065183107669,1.5697215014453532,0.3133223656146799,8.311296661312763,12.933586905035037
600,600,3,0,xgb_delta,0.2215083695567021,5.7172057796747255,9.356216059550137,0.209959623262899,17.97418796710479,31.474786062560494,0.26971754191621006,10.34783456264398,17.67353669090552,0.1338039682407567,7.800620242571219,14.456237071063507,0.1609916306131482,0.915203007367941,1.5697273389156088,0.3133211577091307,8.311264619995386,12.933525361833043
600,600,4,0,xgb_base,0.22361635090164256,4.987288943659037,7.253888054579608,0.1946380845310252,15.615544780706747,26.704187469042534,0.2511866029722297,8.980213046073914,14.498653562143213,0.13582643818756088,7.471315399958537,12.58866152414044,0.13930613445962645,0.7770104140807421,1.384672288012462,0.3142768535937391,8.100178481103518,11.777741558452451
