scheme,seed,channel,n_pairs,abs_mae,baseline_mae_delta,mae_delta,mae_delta_ci_lo,mae_delta_ci_hi,median_err_delta,improvement_over_zero,sign_accuracy,spearman_delta,target_vs_1kcal
kfold_random,43,d2_own_dft,1936,1.4984149364794643,6.7835773076173105,1.6001692977056514,1.5277721777783702,1.671275506771428,1.14342108075794,0.7641112903793675,0.8858471074380165,0.9423569090453321,1.6001692977056514
kfold_random,43,elst_dft,1936,3.7360447856832115,6.618378521592867,4.085325650998858,3.933448195000214,4.232451544013197,3.3984485053379956,0.38273012979384136,0.78150826446281,0.7664036222963247,4.085325650998858
kfold_random,43,pauli_dft,1936,5.528303917012693,12.601847049688775,6.198225139629104,5.947894300117054,6.445056362100895,4.688810725464741,0.508149470852197,0.8398760330578512,0.8482110403193132,6.198225139629104
kfold_random,43,oi_dft,1936,2.9602204944286057,7.644813819716968,3.52139725502452,3.3747149229916387,3.647899053480811,2.672122407430649,0.5393743604399653,0.824896694214876,0.8500177925096692,3.52139725502452
kfold_random,43,disp_dft,1936,1.014671866522336,2.4986130621660614,1.083006614387815,1.0434791024584875,1.123810304858868,0.9041889721582006,0.5665568907860625,0.8558884297520661,0.8912087356906233,1.083006614387815
kfold_random,43,cpcm_dft,1936,2.267474592411005,5.1617798208467125,2.307127307524148,2.220767160143428,2.3850006630461364,1.8929013199091713,0.5530364743171672,0.8285123966942148,0.8660550204131796,2.307127307524148
kfold_random,43,cds_dft,1936,0.2987878212585727,0.37949678892390293,0.31540799835549804,0.3021278003718519,0.32787735890649256,0.22713697938727018,0.16887834742985408,0.7133264462809917,0.5472338460334544,0.31540799835549804
kfold_random,43,interaction_own_dft,1936,1.9570487478350036,4.674185625374449,2.1585812054068247,2.0774618710719968,2.2339660991357064,1.7080657904633796,0.5381909538019469,0.8192148760330579,0.8530764768998518,2.1585812054068247
kfold_random,44,d1_own_dft,1936,1.7991323554299221,6.614571969650818,1.6608765464007516,1.5853762904082276,1.7326665053960482,1.1091447208050846,0.7489064214553509,0.9054752066115702,0.9522458169080471,1.6608765464007516
kfold_random,44,d2_own_dft,1936,1.4766684129585301,6.7835773076173105,1.6359036791711983,1.5655184145226186,1.7119392749340023,1.1677452889632676,0.7588435120604825,0.8791322314049587,0.9360896839726812,1.6359036791711983
