rxn_id,terminated_normally,n_basis_fn,e_bond_kcal,e_orb_kcal,e_elst_kcal,e_pauli_kcal,e_xc_kcal,e_disp_kcal,e_cpcm_kcal,e_smd_cds_kcal,channel_sum_kcal,sum_minus_bond_kcal,sum_minus_bond_eh_kcal,n_nocv
268,True,624,-13.44,-42.32,-30.84,142.66,-58.61,-13.59,-7.66,-3.07,-13.43,0.01,0.00295,69
269,True,673,-2.96,-62.72,-44.94,197.03,-74.91,-12.49,-4.36,-0.58,-2.97,-0.01,-0.00249,69
270,True,673,12.22,-69.23,-68.95,248.07,-84.04,-11.15,-0.4,-2.09,12.21,-0.01,-0.00382,69
271,True,679,-20.89,-64.0,-61.87,197.85,-76.66,-11.22,-3.5,-1.49,-20.89,0.0,-0.0054,69
273,True,679,-7.56,-65.41,-57.23,214.2,-79.98,-10.91,-6.98,-1.27,-7.58,-0.02,-0.00568,69
274,True,679,-9.52,-70.18,-61.67,230.09,-86.71,-14.75,-4.83,-1.47,-9.52,0.0,-0.00944,69
276,True,715,-13.3,-59.71,-53.71,201.89,-81.92,-16.29,-0.6,-2.94,-13.28,0.02,-0.00075,70
278,True,703,-18.63,-56.54,-43.66,194.55,-79.57,-17.24,-12.56,-3.61,-18.63,0.0,-0.00128,70
279,True,697,-15.19,-61.18,-65.38,206.15,-77.9,-12.42,-2.68,-1.79,-15.2,-0.01,-0.00297,70
280,True,697,-4.53,-43.34,-43.0,188.22,-69.01,-11.14,-25.03,-1.23,-4.53,-0.0,-0.00406,70
282,True,673,-19.59,-66.59,-49.13,195.4,-73.3,-11.04,-12.97,-1.97,-19.6,-0.01,-0.0075,70
283,True,704,-13.87,-41.85,-37.56,149.15,-60.78,-12.42,-6.73,-3.67,-13.86,0.01,0.00919,70
284,True,704,-7.74,-36.42,-34.5,140.93,-54.23,-9.23,-11.04,-3.23,-7.72,0.02,0.01392,70
285,True,704,-19.33,-48.32,-34.74,150.1,-63.04,-12.83,-6.94,-3.55,-19.32,0.01,0.0123,70
286,True,704,-19.36,-48.1,-34.09,147.7,-61.81,-12.75,-6.47,-3.82,-19.34,0.02,0.00898,70
287,True,667,-16.93,-58.91,-42.59,175.14,-68.28,-11.5,-8.62,-2.18,-16.94,-0.01,-0.00388,70
289,True,667,-12.15,-63.77,-40.85,192.0,-74.3,-12.18,-11.18,-1.89,-12.17,-0.02,-0.00721,70
291,True,672,-3.28,-56.38,-55.57,219.37,-83.14,-15.86,-9.25,-2.44,-3.27,0.01,0.00761,70
292,True,672,-16.36,-62.19,-37.55,189.23,-76.79,-17.87,-8.2,-2.98,-16.35,0.01,-0.00293,70
293,True,697,-15.3,-57.63,-50.74,184.94,-73.1,-11.75,-4.72,-2.29,-15.29,0.01,0.01632,70
294,True,697,-15.57,-57.85,-50.02,182.95,-72.39,-11.34,-4.66,-2.26,-15.57,-0.0,0.01574,70
296,True,697,-15.07,-54.6,-55.74,198.62,-80.39,-15.97,-4.12,-2.88,-15.08,-0.01,-0.00052,70
299,True,548,-6.06,-81.65,-72.63,254.36,-84.32,-7.6,-11.3,-2.92,-6.06,0.0,-0.00658,70
300,True,548,-1.22,-83.84,-71.83,269.08,-95.16,-8.83,-8.05,-2.6,-1.23,-0.01,-0.00783,70
301,True,611,-11.38,-86.38,-68.48,261.28,-86.33,-11.18,-17.25,-3.04,-11.38,-0.0,0.00539,70
305,True,667,-18.06,-61.29,-39.77,174.67,-69.03,-10.15,-9.79,-2.71,-18.07,-0.01,-0.0043,71
306,True,642,-20.74,-50.45,-38.49,159.36,-64.34,-11.65,-11.58,-3.6,-20.75,-0.01,-0.00367,71
308,True,691,-19.99,-58.64,-52.3,196.46,-78.77,-14.73,-7.31,-4.71,-20.0,-0.01,0.00558,71
309,True,691,-25.99,-62.58,-45.98,181.32,-72.83,-13.7,-7.64,-4.57,-25.98,0.01,-0.00491,71
310,True,704,-15.15,-47.85,-37.99,151.82,-61.52,-10.83,-6.31,-2.44,-15.12,0.03,0.01848,71
311,True,704,-14.91,-49.64,-42.47,159.65,-63.94,-11.16,-4.73,-2.63,-14.92,-0.01,-0.00123,71
312,True,704,-15.14,-46.59,-39.79,152.82,-62.19,-11.09,-5.64,-2.65,-15.13,0.01,-0.00122,71
313,True,704,-15.08,-48.24,-37.71,152.4,-61.72,-10.83,-6.51,-2.44,-15.05,0.03,0.01928,71
315,True,642,-26.46,-83.87,-69.11,235.49,-87.05,-11.14,-8.85,-1.92,-26.45,0.01,-0.00095,71
316,True,642,-29.93,-69.37,-59.39,188.23,-76.08,-12.54,0.95,-1.73,-29.93,-0.0,-0.00044,71
317,True,642,-17.96,-78.76,-64.82,232.42,-84.68,-10.77,-9.99,-1.36,-17.96,-0.0,-0.00783,71
319,True,691,-24.99,-54.94,-40.62,153.62,-63.13,-12.43,-4.49,-3.02,-25.01,-0.02,-0.01041,71
320,True,691,-22.3,-50.39,-32.34,150.97,-62.46,-12.86,-12.24,-3.0,-22.32,-0.02,-0.00986,71
321,True,597,-11.93,-43.26,-25.64,139.69,-57.48,-13.37,-8.65,-3.21,-11.92,0.01,-0.00154,72
322,True,597,-11.57,-40.85,-30.39,135.26,-55.62,-13.23,-3.65,-3.1,-11.58,-0.01,-0.00267,72
323,True,728,-18.24,-40.17,-29.61,127.13,-55.42,-11.13,-5.03,-4.02,-18.25,-0.01,-0.00442,72
325,True,667,-19.42,-57.18,-26.71,151.86,-62.7,-12.14,-9.54,-3.01,-19.42,0.0,-0.00154,72
331,True,709,-27.79,-83.4,-63.21,257.24,-98.67,-17.68,-19.44,-2.63,-27.79,0.0,-0.00018,72
332,True,709,-23.56,-78.06,-67.7,256.96,-101.57,-17.89,-12.17,-3.12,-23.55,0.01,0.00254,72
