phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,y_range,n_seeds
Phase 3 (τ=0.05),cds,krr,cds_dft,0.38893611440456555,0.017029120577772984,0.5662241105809456,0.01570237100853905,6.213293026806105,5
Phase 3 (τ=0.05),cds,svr,cds_dft,0.3409287489465808,0.017309261091912845,0.6532887908579547,0.01388509561813792,6.213293026806105,5
Phase 3 (τ=0.05),cds,rf,cds_dft,0.3890103694808672,0.013127901093720418,0.5966463809839575,0.046423833693105744,6.213293026806105,5
Phase 3 (τ=0.05),cds,xgb,cds_dft,0.29628431869839894,0.011382802229480335,0.7438614802129917,0.021474504670429412,6.213293026806105,5
Phase 5 (no filter),d1,ridge,d1_own_dft,2.5645630390693688,0.021891036515365295,0.857881152083511,0.00989545323803614,53.98597521813522,5
Phase 5 (no filter),d1,krr,d1_own_dft,2.7176380424057007,0.09822946479056698,0.8367685879715252,0.022857713524511204,53.98597521813522,5
Phase 5 (no filter),d1,svr,d1_own_dft,2.2378622034710807,0.12416181952600938,0.8972269429782678,0.014689896832312557,53.98597521813522,5
Phase 5 (no filter),d1,rf,d1_own_dft,2.2126003220021495,0.07064046470262705,0.9019600498434643,0.006391018316902355,53.98597521813522,5
Phase 5 (no filter),d1,xgb,d1_own_dft,1.8153169968880687,0.05709645647302352,0.9296623304231708,0.003615668482254666,53.98597521813522,5
Phase 5 (no filter),d2,ridge,d2_own_dft,2.0931937166627512,0.08754530090249628,0.8659977382713195,0.02084682278579117,45.053803956989775,5
Phase 5 (no filter),d2,krr,d2_own_dft,2.4892447075953066,0.10927289615032325,0.8138798247209547,0.0207582848797421,45.053803956989775,5
Phase 5 (no filter),d2,svr,d2_own_dft,1.922351256376544,0.052344827124702925,0.893212452931275,0.011015062316595004,45.053803956989775,5
Phase 5 (no filter),d2,rf,d2_own_dft,1.8204280962002997,0.08155246419008387,0.8994525783008729,0.011610727432877546,45.053803956989775,5
Phase 5 (no filter),d2,xgb,d2_own_dft,1.457570125870216,0.05329361760217171,0.9269831412489754,0.012862131720971897,45.053803956989775,5
Phase 5 (no filter),interaction,ridge,interaction_own_dft,2.2512544790594213,0.2638872113172494,0.7317116491505908,0.2410979798722387,45.258575012874275,5
Phase 5 (no filter),interaction,krr,interaction_own_dft,2.362987239852602,0.11241425505917667,0.7731168036774789,0.014003488829449327,45.258575012874275,5
Phase 5 (no filter),interaction,svr,interaction_own_dft,1.8870276827614874,0.10383952489839418,0.848581263042902,0.01219844712968452,45.258575012874275,5
Phase 5 (no filter),interaction,rf,interaction_own_dft,2.5258681528957956,0.10339639866102741,0.7745063802750674,0.005003924827995473,45.258575012874275,5
Phase 5 (no filter),interaction,xgb,interaction_own_dft,1.8401313960071584,0.13726379694488816,0.8712021852424705,0.011111320451749517,45.258575012874275,5
Phase 5 (no filter),pauli,ridge,pauli_dft,7.361695238032207,0.5141390951544557,0.6137631556297225,0.5590335269322559,211.98982394254529,5
Phase 5 (no filter),pauli,krr,pauli_dft,10.216054326005722,0.725127933514121,0.555986500918108,0.0900131096443018,211.98982394254529,5
Phase 5 (no filter),pauli,svr,pauli_dft,5.8864186281313495,0.19972450249342064,0.8669603432834648,0.013317068596491951,211.98982394254529,5
Phase 5 (no filter),pauli,rf,pauli_dft,8.752410984768295,0.2560345772778955,0.800932902616737,0.012012510649618585,211.98982394254529,5
Phase 5 (no filter),pauli,xgb,pauli_dft,5.346284336232759,0.16542413782640766,0.9118406460631274,0.005664215967416341,211.98982394254529,5
Phase 5 (no filter),oi,ridge,oi_dft,3.9682671587551157,0.228578208560968,0.6054942342958539,0.5361389451314269,99.72102480987355,5
Phase 5 (no filter),oi,krr,oi_dft,4.541550932329969,0.32425667781049583,0.6697918498149564,0.09525009098964962,99.72102480987355,5
Phase 5 (no filter),oi,svr,oi_dft,3.104151587449115,0.1508856099683263,0.8658039658667864,0.015438381886338651,99.72102480987355,5
Phase 5 (no filter),oi,rf,oi_dft,5.127201609004656,0.2770869990489604,0.7336374578345206,0.019200327809333433,99.72102480987355,5
Phase 5 (no filter),oi,xgb,oi_dft,2.9197849768117528,0.059596694633054614,0.9046696250473429,0.005779116728771053,99.72102480987355,5
Phase 5 (no filter),elst,ridge,elst_dft,4.2668141176246,0.20234376828627532,0.6445812190039906,0.39437597150042913,111.81272976499092,5
Phase 5 (no filter),elst,krr,elst_dft,5.266825309762639,0.23982028092259475,0.5999987314802753,0.06732922573843851,111.81272976499092,5
Phase 5 (no filter),elst,svr,elst_dft,3.8083049071235804,0.15635843477141032,0.8166529931855546,0.017316930375458294,111.81272976499092,5
Phase 5 (no filter),elst,rf,elst_dft,5.381656594299729,0.12409175296180158,0.6965206285063797,0.018362843216865852,111.81272976499092,5
Phase 5 (no filter),elst,xgb,elst_dft,3.7176422792215975,0.09126709721775404,0.8476414030760588,0.008323907920993075,111.81272976499092,5
Phase 5 (no filter),disp,ridge,disp_dft,0.012213654706990972,0.0005970869239038142,0.9999867291817839,7.809824517832716e-06,31.31429297270564,5
Phase 5 (no filter),disp,krr,disp_dft,0.8817409788865881,0.042723124961924125,0.8960222242508756,0.023199053493791647,31.31429297270564,5
Phase 5 (no filter),disp,svr,disp_dft,0.3795722948503236,0.0208124757012274,0.9799225537756999,0.0033759033561948106,31.31429297270564,5
Phase 5 (no filter),disp,rf,disp_dft,0.13113307380013423,0.018383494261173385,0.9962493439600466,0.0030987519843932235,31.31429297270564,5
Phase 5 (no filter),disp,xgb,disp_dft,0.08832122506792274,0.006529650666251033,0.9967184259911676,0.0032096936422899677,31.31429297270564,5
Phase 5 (no filter),cpcm,ridge,cpcm_dft,2.6063931567042626,0.1554275116487003,0.735724567038839,0.040598309851550815,43.12509475503047,5
Phase 5 (no filter),cpcm,krr,cpcm_dft,2.8016964430292544,0.0891098131932577,0.6626940747505705,0.03769358654621989,43.12509475503047,5
Phase 5 (no filter),cpcm,svr,cpcm_dft,2.418472604177077,0.11083086532791908,0.7533776256332455,0.03471583134567343,43.12509475503047,5
Phase 5 (no filter),cpcm,rf,cpcm_dft,3.0684505208192476,0.14526976373748302,0.6380359250326048,0.03781465503202823,43.12509475503047,5
Phase 5 (no filter),cpcm,xgb,cpcm_dft,2.4279260134021152,0.0513027796966355,0.7620180265709877,0.023011680151575998,43.12509475503047,5
Phase 5 (no filter),cds,ridge,cds_dft,0.377960779236603,0.028798547512937173,0.34091455974472235,0.6053231239436123,6.213293026806105,5
Phase 5 (no filter),cds,krr,cds_dft,0.3691789458629491,0.01679322431791236,0.6131537792162326,0.01689439779431155,6.213293026806105,5
Phase 5 (no filter),cds,svr,cds_dft,0.3199151404247912,0.013500007198072485,0.6898067156130097,0.020443209613517137,6.213293026806105,5
Phase 5 (no filter),cds,rf,cds_dft,0.3737666830388022,0.01832342849737338,0.6308856808127763,0.04355927304796008,6.213293026806105,5
