phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,nmae_mean,nmae_std,mad,n_seeds,oracle
Phase 2 (τ=1e-10),pauli,rf,pauli_dft,8.751963086698092,0.20750985792659543,0.8018412879796621,0.013023607332402817,0.442719408538239,0.010496918309304272,19.768645597885865,5,False
Phase 2 (τ=1e-10),pauli,xgb,pauli_dft,5.460854519890269,0.1760709159628316,0.9108970576099417,0.0040190948966351316,0.27623817184897453,0.008906574559749369,19.768645597885865,5,False
Phase 2 (τ=1e-10),oi,ridge,oi_dft,3.99582053701061,0.22057047539593125,0.6255814959367328,0.48601247379008033,0.3920981095740101,0.021643931610424,10.190869171370954,5,False
Phase 2 (τ=1e-10),oi,krr,oi_dft,4.426688567965924,0.28730061695334513,0.6768359319442885,0.09605256670281463,0.4343779214045598,0.028191964014262313,10.190869171370954,5,False
Phase 2 (τ=1e-10),oi,svr,oi_dft,3.1017846064019157,0.12792701331130296,0.8669711436824192,0.014174545465138775,0.30436899485626895,0.012553101326301615,10.190869171370954,5,False
Phase 2 (τ=1e-10),oi,rf,oi_dft,5.166857176851389,0.18887321359932197,0.7306935500048277,0.01643573985514898,0.507008488674014,0.018533572595546655,10.190869171370954,5,False
Phase 2 (τ=1e-10),oi,xgb,oi_dft,3.0090395834856603,0.059138799901060086,0.9006795866214949,0.00674873872905163,0.2952681987066331,0.005803116388462505,10.190869171370954,5,False
Phase 2 (τ=1e-10),elst,ridge,elst_dft,4.269234854637196,0.21574825175013845,0.660963891653642,0.3596663498210778,0.4229121820512505,0.021372111637823557,10.094849559381645,5,False
Phase 2 (τ=1e-10),elst,krr,elst_dft,5.172957742811667,0.2539009881365379,0.607113466587043,0.0707877621168066,0.5124353475881352,0.025151537587855887,10.094849559381645,5,False
Phase 2 (τ=1e-10),elst,svr,elst_dft,3.8117089546635334,0.1992609687996333,0.8156817789680286,0.018919019575702908,0.3775894759244949,0.019738874524826394,10.094849559381645,5,False
Phase 2 (τ=1e-10),elst,rf,elst_dft,5.34790521138692,0.106117328437758,0.6986987997628562,0.020794787945053142,0.5297657166586347,0.0105120267333888,10.094849559381645,5,False
