fold,member,channel,MAE,RMSE,NMAE,R2_det
2,1,Pauli,30.603471904803232,52.56868505438234,0.3672774640934288,0.8012489769935395
2,1,Velst,15.906114754403474,26.454710662759666,0.42091624483220147,0.7478594328305224
2,1,oi,16.283162166738208,25.480323198007717,0.2987847803329782,0.8804406381148491
2,1,disp,0.8400161566248365,1.2673108608398336,0.14573080563416618,0.9704172942942401
2,1,barrier,11.437573818264493,16.2809748521835,0.3909235466780089,0.8007643310091997
2,2,strain,11.40061646472117,15.699671017201638,0.49350996136118463,0.6768838208022918
2,2,Pauli,32.001156123580444,56.34784423310092,0.3840513097888687,0.7716454045100156
2,2,Velst,16.55070035169079,28.162534368619983,0.43797361888440284,0.7142539978646013
2,2,oi,16.451475542442054,25.623048378707022,0.3018732145370852,0.8790974900857964
2,2,disp,0.9158489916734635,1.3205935926879855,0.15888671943178,0.9678774546320906
2,2,barrier,11.338607286951344,15.981683233009182,0.3875409807564167,0.8080220639365323
2,3,strain,10.771397884104662,17.477747806951136,0.4662723432579265,0.5995497789806157
2,3,Pauli,30.693253957541884,58.02319482407766,0.36835495375713523,0.7578645256516281
2,3,Velst,15.49507981500808,27.91715571668858,0.410039215095116,0.7192116845235286
2,3,oi,17.260941340285502,28.26843066533251,0.3167263528967679,0.8528442888339439
2,3,disp,1.284088195604124,1.7905784547913721,0.2227709619331611,0.9409447804298807
2,3,barrier,10.376104012321514,15.267039914301968,0.3546436897936569,0.8248073170891899
2,4,strain,10.558050846977599,14.71949954697882,0.4570369752955963,0.7159703426642765
2,4,Pauli,31.741738917721303,53.143729520086104,0.3809379998413397,0.7968769527055447
2,4,Velst,15.59327253414567,25.619166753953653,0.4126376441425247,0.7635350947134549
2,4,oi,18.198467180987073,26.585050965396242,0.3339293046024698,0.8698486377368023
2,4,disp,1.2690602871263104,1.784639444635377,0.22016383444853296,0.9413358807428074
2,4,barrier,10.684320356435837,14.942171451469816,0.3651781814874192,0.8321838659389793
3,0,strain,11.32699571053187,16.00125608116271,0.43885500164007013,0.7473272140329565
3,0,Pauli,30.073539406825336,46.548780231524056,0.3512942568306822,0.841935103164094
3,0,Velst,14.73011001256796,21.896182643275107,0.38394207413093323,0.82767435441722
3,0,oi,18.219728127504005,26.526442637587216,0.3125228312517165,0.8842801729433162
3,0,disp,1.331610266978924,1.927703738475453,0.23424104433257986,0.9312438948769117
3,0,barrier,11.731796468679722,15.692855076814217,0.44226964483015113,0.7891016181831095
3,1,strain,10.663827647001316,16.23654637386393,0.413161108127094,0.739841732257581
3,1,Pauli,29.994476003524586,47.148423987314935,0.35037070343281584,0.837836472641698
3,1,Velst,14.574243490130474,22.355132402732085,0.379879394635589,0.8203746642310592
3,1,oi,19.69902858978663,28.00662654072273,0.33789725865860193,0.871005452946608
3,1,disp,1.3606648793778358,1.9365350396125174,0.2393519862648916,0.9306124734198987
3,1,barrier,10.574857251861921,15.01409688401428,0.3986549181445913,0.8069509150863158
3,2,strain,11.834715019433926,16.28134601269851,0.45852616280540304,0.7384041019496423
3,2,Pauli,30.599405649380806,48.23894864206552,0.35743699208947055,0.8302481603243507
3,2,Velst,16.190377411169884,24.18619521234234,0.4220041180210768,0.7897440920461423
3,2,oi,17.49512864381839,27.022274505926692,0.3000937828828162,0.8799136750107195
3,2,disp,1.3026325798187501,1.9383865033719259,0.22914363417356873,0.9304797312792741
3,2,barrier,11.49409307539463,15.760397486989316,0.4333086135333859,0.7872822883732988
3,3,strain,11.67736349808864,16.159362423833333,0.45242970934830096,0.7423092909186141
3,3,Pauli,28.86425585930164,45.810478274522296,0.3371684048856167,0.8469094181115822
3,3,Velst,15.338956530277546,22.936201982523997,0.39981173122360697,0.8109154218005812
3,3,oi,16.72769377552546,24.99514907239869,0.28692997955041977,0.8972548775938608
3,3,disp,1.307163808399286,1.9356128335108844,0.22994071402578584,0.9306785443793106
3,3,barrier,11.477385948865841,15.587797699674176,0.4326787820377793,0.7919159265438398
3,4,strain,9.574435801078112,14.920218752811817,0.37095352965288464,0.7803148511159442
3,4,Pauli,30.494160713293613,46.954654008260995,0.3562076076426385,0.8391666487500186
3,4,Velst,15.297345836957296,22.453486364445666,0.3987271435398917,0.8187906228779548
3,4,oi,17.84037478153522,25.98710404090398,0.30601578675043184,0.8889379918885669
3,4,disp,1.3681628042115614,1.9550125041878446,0.24067093204574963,0.9292820330733491
