family,size_target,size_actual,arm,nmae_strain_mean,nmae_strain_std,nmae_strain_count,mae_strain_mean,mae_strain_std,mae_strain_count,rmse_strain_mean,rmse_strain_std,rmse_strain_count,nmae_Pauli_mean,nmae_Pauli_std,nmae_Pauli_count,mae_Pauli_mean,mae_Pauli_std,mae_Pauli_count,rmse_Pauli_mean,rmse_Pauli_std,rmse_Pauli_count,nmae_elst_mean,nmae_elst_std,nmae_elst_count,mae_elst_mean,mae_elst_std,mae_elst_count,rmse_elst_mean,rmse_elst_std,rmse_elst_count,nmae_oi_mean,nmae_oi_std,nmae_oi_count,mae_oi_mean,mae_oi_std,mae_oi_count,rmse_oi_mean,rmse_oi_std,rmse_oi_count,nmae_disp_mean,nmae_disp_std,nmae_disp_count,mae_disp_mean,mae_disp_std,mae_disp_count,rmse_disp_mean,rmse_disp_std,rmse_disp_count,nmae_barrier_mean,nmae_barrier_std,nmae_barrier_count,mae_barrier_mean,mae_barrier_std,mae_barrier_count,rmse_barrier_mean,rmse_barrier_std,rmse_barrier_count
qmrxn20_e2,150,150,xgb_base,0.2323551609233679,0.030246540230613173,5,3.1115889703921784,0.8154626055573686,5,5.436023087351179,2.812699461548406,5,0.24451643574764872,0.054978283816861685,5,6.051559273157364,1.450547132715173,5,9.282544010131918,3.0776299329773544,5,0.34286307199714766,0.06633001652477757,5,4.657818712087778,0.8915964623990461,5,6.909802834184035,1.468412331787059,5,0.15466555936377993,0.047089976962187724,5,4.043634955577361,1.9891836688830309,5,6.125285747158339,3.5568278988428395,5,0.23736863240770711,0.06488681667892549,5,0.15244624242950708,0.04521255977983,5,0.2363276412744113,0.0931353527580051,5,0.47817184133688945,0.07759261671988678,5,5.158127286705452,1.3436356229758013,5,7.139728386417813,1.7263901014914291,5
qmrxn20_e2,150,150,xgb_delta,0.23704569180174545,0.036651296368001574,5,3.1859228782776077,0.9489104788759428,5,5.20123473729876,2.241082889060601,5,0.2618804676237926,0.08096570914494453,5,6.42115912706424,1.7453217850272018,5,9.67811875794509,3.08679087142759,5,0.36423326467415784,0.10859654503175017,5,4.877243701739189,1.050927645814547,5,7.160101964105612,2.1660747780311715,5,0.1612283427047509,0.04293370563000544,5,4.193054406092718,1.883616339806548,5,6.19377558935521,3.4899847718613644,5,0.26397398221679297,0.08372774949403688,5,0.16615241158467073,0.04115508911856961,5,0.22656497410338666,0.07231315764955222,5,0.47075413621785256,0.057930257257913835,5,5.06432027093493,1.0990153244445269,5,7.009609792900955,1.4280792029037888,5
qmrxn20_sn2,50,50,xgb_base,0.34451073335159293,0.06217091194661155,5,4.218931591362397,0.5809393455768839,5,5.446260349172392,0.7983115747513767,5,0.4721839948314404,0.05298210844169382,5,11.52349414364203,1.8589531490940026,5,15.929241664293775,2.7485495492584406,5,0.4003229577262477,0.06622989997107467,5,8.190813024963118,0.8624829541202638,5,11.115553972418637,1.3483178360652093,5,0.397729811789511,0.05917546008897746,5,5.25736620456701,1.2235176388353801,5,6.897192197851593,1.8344443979538056,5,0.22865829577864485,0.036791310607670526,5,0.30956761492773954,0.042902355659102526,5,0.4370322455514846,0.08431394192016223,5,0.46089129753003677,0.10430815046677483,5,6.736361907967293,1.6338653532447576,5,8.629453586644166,2.097904761796695,5
qmrxn20_sn2,50,50,xgb_delta,0.3396784851336336,0.07219200071737196,5,4.1652269589994235,0.7649717113928188,5,5.436023649801719,0.8980915469578967,5,0.4544461753857877,0.08246508504226349,5,11.164152188796237,2.599754360175274,5,15.509817282262963,3.4423910087278378,5,0.39096727849313995,0.04987188516626099,5,8.048869792021186,0.8802392020315317,5,10.879211489254667,1.2429283806981384,5,0.40555975314950193,0.0457190783726103,5,5.288702575173521,0.6744638171954663,5,7.008129790213522,1.2729569740729063,5,0.279368360597588,0.03747382924859874,5,0.3812632865875239,0.06656462548699872,5,0.5069801591645225,0.07267096389799783,5,0.46745162536416807,0.12216729258827698,5,6.832771543829912,1.8848575812460282,5,8.600240842627334,2.370909245749892,5
qmrxn20_sn2,100,100,xgb_base,0.2649353211548191,0.07650276959252313,5,3.2355877791198866,0.784874502191907,5,4.239530029542079,1.0776993317318593,5,0.30764181228573895,0.04523627083376109,5,7.531832885199558,1.6191724767449476,5,10.566284645009244,3.079167860365022,5,0.3220356930572029,0.024328106912956473,5,6.643840818554375,0.5577368833466626,5,8.909238420302216,0.8314224249288187,5,0.2760528986478898,0.03664676727179905,5,3.6413528385406537,0.7533878737639738,5,4.799171891815016,1.072578328627269,5,0.205675604657443,0.03155663244871223,5,0.27892764833878997,0.04051394096498289,5,0.3789882920773246,0.07105124532146476,5,0.31950625801570803,0.05529332463285004,5,4.664820429190972,0.8871248325795056,5,6.144397436208864,1.0075433333486492,5
qmrxn20_sn2,100,100,xgb_delta,0.2756936811633791,0.064879137603699,5,3.3902693019016708,0.7554354981990151,5,4.371070048706097,1.0008933929863213,5,0.28910555318318687,0.05764369304618875,5,7.121609994663113,2.0412445474111665,5,9.822604707914019,3.00499098013804,5,0.3038500205038007,0.044413638082280035,5,6.266306417256297,1.0129046802967074,5,8.02210930109889,1.2652704433910458,5,0.2695278123167273,0.051026760489547754,5,3.5222685864097194,0.6794015259498051,5,4.640854002493856,0.8774246498472174,5,0.2119018629925471,0.033661211028023046,5,0.2880333537906196,0.05104169816693609,5,0.3848032593235241,0.05978249344720157,5,0.3254851832813861,0.04384645661383324,5,4.752751581703616,0.744025116644948,5,6.349701692847694,0.9374854944396126,5
qmrxn20_sn2,150,149,xgb_base,0.19704889420336358,0.0028006003588283822,2,2.6024327085990655,0.3409277303665615,2,3.6898751914310415,0.38513438243964865,2,0.22715231966182983,0.030993531960203487,2,5.751713702553197,2.361610121307012,2,7.331719390196842,3.126427811066897,2,0.2889650374220165,0.012770506399352384,2,5.782305918241802,1.45456117523059,2,7.848189017356795,2.2259578370931794,2,0.19850356249542409,0.012804731841299603,2,2.712567756050511,0.9736627943546525,2,3.4681792869795998,1.1650197870226373,2,0.18115686910948658,0.03402223745961383,2,0.25015888559190846,0.06613578544859249,2,0.3518054641179127,0.11491010525842107,2,0.2986437195324181,0.046701393422080274,2,4.317795326443095,1.0450532342593943,2,5.585574377170447,0.8922939426158804,2
qmrxn20_sn2,150,149,xgb_delta,0.1973704374436012,0.002110384291659805,2,2.606143449090029,0.33231560305621866,2,3.7091944116074096,0.07447155050022208,2,0.22333184249614713,0.024045739011027956,2,5.463973748056512,0.9675036047546227,2,7.037447485959342,0.9807759847081107,2,0.2762824055879332,0.03352935212600669,2,5.433534220645303,0.4796556255912141,2,6.992582915294372,1.1016803448270756,2,0.24751088229168933,0.09807189310598044,2,3.1523610918145435,0.3294633877311012,2,3.852221101891458,0.13693148079318662,2,0.21012632574160228,0.055332275126388115,2,0.2910167433713612,0.09846543064698919,2,0.39064007539340495,0.14572255429010086,2,0.31141123629984424,0.020984718142016228,2,4.485015661700776,0.6917692995599266,2,5.956614593094903,0.410715038943531,2
qmrxn20_sn2,150,150,xgb_base,0.2726194470311621,0.09836716129146349,3,3.1973730908320825,1.092628906157574,3,4.305919893822406,1.8314401884411537,3,0.22081953607397842,0.050998161356204656,3,5.319469211337803,1.0938303045611057,3,7.185329589045683,1.4130271716786136,3,0.2562258483373926,0.06840051140299001,3,5.378153345606349,0.9454022943521532,3,7.077302404821455,1.120888968621274,3,0.21290827798288836,0.014633074502039389,3,2.74001186817616,0.08971812826379487,3,3.6439725478475053,0.2241253687937035,3,0.19639837228992288,0.030805368346298472,3,0.2634383826642423,0.023587320383092636,3,0.3583277175184521,0.03798900338034937,3,0.31038571274183585,0.09761701020354895,3,4.572026065072498,1.4579733941184196,3,5.93245368802026,2.0747887420570237,3
qmrxn20_sn2,150,150,xgb_delta,0.2810165803009507,0.10572032631511694,3,3.3022321325701633,1.206793425575548,3,4.562214898963288,1.9384106729839732,3,0.21040075797593105,0.02985726784198099,3,5.114628319267754,0.9052776024573657,3,6.9266404805957675,1.1391392602662658,3,0.2654986572940057,0.06685457110435154,3,5.550195023820208,0.7527478855116357,3,6.997943709877561,0.8832317789365369,3,0.19586112223138394,0.006301731014240849,3,2.5332655520052523,0.28699726899876904,3,3.416061342290486,0.3973600480599149,3,0.2038147346131081,0.02211993444363472,3,0.2738845316139427,0.014141170005561558,3,0.3565392901791789,0.019772100537071,3,0.30091515433430327,0.08793615292344227,3,4.432270554003415,1.3149836455872252,3,6.016608265565488,2.033842848964474,3
rgd1,50,50,xgb_base,0.5055142352633462,0.08639195506273505,5,10.519565303325653,1.3706045500470245,5,13.976296651423558,1.2924373455488565,5,0.38066801735717093,0.04632460850576862,5,47.77411695241928,8.427649337756597,5,61.5125971881017,10.553254283180019,5,0.48425760735457357,0.08637406688317453,5,25.821760258674622,4.685397623174074,5,33.71132725881721,5.82493795576843,5,0.30880857276948803,0.028843722433342423,5,22.32298730641603,3.2159783831566,5,29.786838606709864,5.305601807405038,5,0.7585044676433963,0.12499986497454325,5,1.1333051842451094,0.1953824513566662,5,1.4307357964819207,0.28456557862833415,5,0.9296752207063396,0.15116715831997798,5,17.235577441751957,1.9381992257378786,5,21.95226399030419,2.7824893131032233,5
rgd1,50,50,xgb_delta,0.5153435846635206,0.09277360861001355,5,10.679954493045807,1.0110791404824393,5,14.076822047029319,1.0662374159637609,5,0.39937606506202156,0.0733683726070683,5,49.738692369461056,8.344676103275765,5,62.91092278016864,10.818368993896822,5,0.4845244015075706,0.09187671045116211,5,25.794133327007295,4.659264707826635,5,33.100145184397114,5.390600409595885,5,0.3283007182470822,0.024732554854529118,5,23.64280093818903,2.1368879381267427,5,30.850618818118125,4.174849685695547,5,0.7867485551743462,0.07796843864000777,5,1.1748441010713577,0.09801979300557852,5,1.4521791141909586,0.15151165816578704,5,0.9689005846698908,0.1471157930969049,5,17.976762308180334,1.8376333304787895,5,22.691346161084343,2.5363370055152417,5
rgd1,100,100,xgb_base,0.3751781956669184,0.07438484285311162,5,7.858289682865143,1.719375721864554,5,10.256641602703633,2.5049131655564896,5,0.3137698528063603,0.021362225510664423,5,39.40297556877137,5.7071750694710035,5,53.09682145043414,7.548282875064345,5,0.3997762465720522,0.04408246213689868,5,21.30147656202316,2.1893831447392023,5,28.295341007683568,3.4200171111577733,5,0.25743311117530615,0.01829961624011822,5,18.638287722170354,2.740155981479014,5,25.886679534479363,4.389896507878214,5,0.6770668286782244,0.049939647331827396,5,1.0151748412847519,0.11544100350227537,5,1.2794507368150017,0.2078031356172024,5,0.7240539774752454,0.16718183289647842,5,13.433212611973286,2.650483173039816,5,17.221958099389376,3.604594661916604,5
rgd1,100,100,xgb_delta,0.38149787402273316,0.07683690378263522,5,7.995011885166169,1.7905104874467404,5,10.346797414488567,2.5575294995550273,5,0.3112975229172811,0.02356081138287989,5,39.11058654785156,5.9530301460769515,5,52.80211316426414,7.7944745624995715,5,0.39414534838487814,0.04585321519486486,5,21.00020898580551,2.2766027488153764,5,28.072693963560322,3.41037100466408,5,0.25687034354910254,0.019670646635476463,5,18.60193326741457,2.819151815015682,5,25.82525690326317,4.521484777366236,5,0.64659172017856,0.07498035286258431,5,0.9759945392608642,0.1911974224827939,5,1.2585388823462893,0.2746521299434359,5,0.7446979769031932,0.1740562005029883,5,13.827878256142139,2.8561927449256035,5,17.554345160504635,3.8696732404827068,5
rgd1,150,150,xgb_base,0.35715250898664286,0.04564585787742376,5,7.52020334482193,1.3735680490005377,5,9.688055818326308,1.8037011904036542,5,0.3235812673121165,0.02105391151673555,5,40.48767360448837,4.136517842323188,5,54.69253346786043,6.3139826777672505,5,0.3891123606481617,0.03539662906076962,5,20.82386694431305,2.7315250694872066,5,27.74293882349904,3.8187588420406824,5,0.24909817188682065,0.025950736406121763,5,18.074818629547956,3.3389067056947495,5,25.705653836993974,5.353203825655805,5,0.6273506156200328,0.06275948265887764,5,0.9432836836576464,0.15057382711400263,5,1.2023996491251443,0.2234964361023746,5,0.7069075974466416,0.07604005713628965,5,13.19803185135126,1.7216069651102823,5,17.161929989365955,2.2390963488624447,5
rgd1,150,150,xgb_delta,0.3612148183925544,0.05344011222737192,5,7.598205296993255,1.4463220893782607,5,9.736887451255367,1.9058633613086053,5,0.32553888791667107,0.020679879198559868,5,40.7950376868248,4.897549460618647,5,55.34849536985587,8.071200183902024,5,0.38536753568913296,0.03687572360645917,5,20.632537853717803,2.869169362732532,5,27.859680117427626,4.605989130782313,5,0.2532089747979524,0.03550158201509762,5,18.401486077159642,4.036824764197947,5,26.016588236085333,5.88239993961784,5,0.6186287721203385,0.03914730379642408,5,0.9282914113998413,0.10644220432579608,5,1.204145988673164,0.14705668381429085,5,0.7077341658218043,0.0769890260771227,5,13.207829921543597,1.6800393139884615,5,17.227987054355875,2.254323903446477,5
