model,fold,member,channel,MAE,RMSE,NMAE,R2_det
m1,1,4,disp,1.857785774937159,2.573456361827304,0.33451492099864777,0.8692859758869066
m1,1,4,barrier,17.158479783353926,22.991828854412176,0.5796138340532179,0.6315343673906549
m1,2,0,strain,17.913971349691888,26.982369869872688,0.8036726477198924,0.13422731267601418
m1,2,0,Pauli,72.92725873145328,116.10580425568752,0.7274177194250535,0.16929992226551893
m1,2,0,Velst,34.10506031771374,48.837751716229,0.809294717692533,0.15342558867440514
m1,2,0,oi,58.01110135369999,101.22968423532716,0.7327603970795545,0.11537387654584264
m1,2,0,disp,1.7492959989104302,2.2432594831390436,0.3098328533905157,0.900341460812921
m1,2,0,barrier,21.58066653483992,28.549168587974986,0.6114855214037207,0.5958918949526928
m1,2,1,strain,19.653045655815465,28.52546391244039,0.881692558821738,0.03237043194716693
m1,2,1,Pauli,78.16041825227677,121.11837211561605,0.7796162118713782,0.09602496034334496
m1,2,1,Velst,37.52563411718721,52.36212415352765,0.8904630921684332,0.026830870018136443
m1,2,1,oi,64.84662114434941,106.1088757107811,0.8191024605667176,0.02804217231303674
m1,2,1,disp,1.8530441275827445,2.346137949891313,0.3282085764016534,0.8909909433914465
m1,2,1,barrier,21.73339700509029,28.427965885330202,0.6158131204185383,0.5993158143972619
m1,2,2,strain,18.990248803120508,28.145651877442734,0.8519575720280402,0.05796655468097489
m1,2,2,Pauli,77.72532394129759,120.12460853460976,0.7752763351650186,0.11079814585433034
m1,2,2,Velst,35.61713146555955,51.56423107460436,0.8451753518660875,0.056263170350480673
m1,2,2,oi,63.42596824457691,103.6199999323073,0.8011576507172642,0.07310365169561706
m1,2,2,disp,1.796680412095064,2.290772244767724,0.31822551418227113,0.8960751713242381
m1,2,2,barrier,19.772437736866582,26.98753393462415,0.5602495816999634,0.6388920635408446
m1,2,3,strain,18.298620097956082,27.57680329280411,0.8209291048128052,0.09566041560254124
m1,2,3,Pauli,80.74223726418367,125.15527454536986,0.8053687347315246,0.0347613505525719
m1,2,3,Velst,35.998630324746394,52.8547556466514,0.854228114379024,0.008433260250058638
m1,2,3,oi,64.4650123149726,106.75516569753344,0.8142822135654015,0.016166075577193406
m1,2,3,disp,1.8114407119477631,2.3073277334629507,0.32083983778622943,0.8945676068063849
