reaction_id,sub_source,reaction_number,flags,e_barrier_dft,sum_distortion_energies_dft,interaction_energies_dft,asm_residual_kcal
dipolar_005220,locked_778,354,e_barrier_lt_0,-10.949127093998314,67.10087290600168,78.05,0.010000000000033538
dipolar_005272,locked_778,356,e_barrier_lt_0,-4.670222584073109,59.08977741592689,63.76,7.105427357601002e-15
dipolar_005283,spec16,357,sum_distortion_gt_100,35.867000000000004,119.187,83.32,0.010000000000012221
dipolar_005286,spec16,358,sum_distortion_gt_100,9.61699999999999,105.347,95.73,5.3290705182007514e-14
dipolar_005355,spec16,365,sum_distortion_gt_100,17.289,130.679,113.39,2.842170943040401e-14
dipolar_005357,locked_778,367,sum_distortion_gt_100,15.20534081068503,110.40534081068503,95.2,0.009999999999990905
dipolar_005361,locked_778,368,e_barrier_lt_0,-13.479252511934504,64.90074748806549,78.38,0.010000000000005116
dipolar_005378,spec16,369,sum_distortion_gt_100,0.007000000000005002,104.137,104.13,2.3419634287424884e-14
dipolar_005423,spec16,370,e_barrier_lt_0,-0.4919999999999902,81.248,81.74,0.01999999999999158
dipolar_005435,locked_778,373,e_barrier_lt_0|e_barrier_lt_neg20,-51.88871438176812,13.601285618231877,65.49,0.0
dipolar_005508,spec16,378,e_barrier_lt_0,-4.609000000000002,60.371,64.98,1.7763568394002505e-15
dipolar_005574,spec16,380,e_barrier_lt_0,-6.692999999999998,76.187,82.88,0.00999999999997847
dipolar_005580,spec16,381,sum_distortion_gt_100,56.811,107.831,51.02,7.105427357601002e-15
dipolar_005588,spec16,382,e_barrier_lt_0,-7.636999999999993,57.713,65.35,7.993605777301127e-15
dipolar_005604,spec16,383,sum_distortion_gt_100,17.12700000000001,100.977,83.85,0.010000000000008669
dipolar_005609,locked_778,384,e_barrier_lt_0,-8.221118649129906,65.1388813508701,73.36,0.010000000000033538
dipolar_005662,locked_778,385,e_barrier_lt_0,-3.278965269387772,7.061034730612228,10.34,0.019999999999994245
dipolar_005790,spec16,388,e_barrier_lt_0,-3.591000000000001,44.259,47.85,3.4638958368304884e-14
dipolar_005825,locked_778,390,e_barrier_lt_0,-8.774433033324158,4.995566966675841,13.77,7.105427357601002e-15
dipolar_005885,locked_778,393,e_barrier_lt_0,-7.916199380604866,69.91380061939513,77.83,0.010000000000033538
dipolar_005886,locked_778,394,e_barrier_lt_0,-7.352919721866925,65.29708027813308,72.65,0.0
dipolar_005901,locked_778,395,sum_distortion_gt_100,17.746438631776485,123.41643863177649,105.67,0.010000000000005116
