rxn_0042 f1=OK:14c:ec1 f2=OK:17c:ec1 
rxn_3460 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_0108 f1=OK:17c:ec1 f2=OK:11c:ec0 
rxn_3308 f1=OK:16c:ec1 f2=OK:12c:ec0 
rxn_3296 f1=OK:16c:ec1 f2=OK:11c:ec1 
rxn_3412 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_3394 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_0057 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3416 f1=OK:15c:ec1 f2=OK:14c:ec1 
rxn_3408 f1=OK:14c:ec1 f2=OK:11c:ec1 
rxn_0027 f1=OK:14c:ec1 f2=OK:11c:ec1 
rxn_0299 f1=OK:14c:ec1 f2=OK:15c:ec1 
rxn_0300 f1=OK:16c:ec1 f2=OK:15c:ec1 
rxn_3320 f1=OK:16c:ec1 f2=OK:11c:ec1 
rxn_3381 f1=OK:13c:ec1 f2=OK:10c:ec1 
rxn_0041 f1=OK:12c:ec1 f2=OK:17c:ec1 
rxn_3352 f1=OK:13c:ec1 f2=OK:13c:ec1 
rxn_3407 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3351 f1=OK:14c:ec0 f2=OK:12c:ec1 
rxn_3453 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_3414 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3454 f1=OK:15c:ec1 f2=OK:13c:ec1 
rxn_0058 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_0262 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_0113 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_0063 f1=OK:15c:ec0 f2=OK:12c:ec1 
rxn_0080 f1=OK:14c:ec0 f2=OK:18c:ec1 
rxn_3367 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_0067 f1=OK:11c:ec1 f2=OK:14c:ec1 
rxn_3405 f1=OK:16c:ec1 f2=OK:11c:ec1 
rxn_3328 f1=OK:16c:ec1 f2=OK:12c:ec1 
rxn_0049 f1=OK:13c:ec0 f2=OK:10c:ec1 
rxn_0124 f1=OK:13c:ec0 f2=OK:10c:ec1 
rxn_0081 f1=OK:13c:ec1 f2=OK:19c:ec1 
rxn_3491 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3486 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_3490 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_0161 f1=OK:14c:ec1 f2=OK:13c:ec1 
rxn_0126 f1=OK:13c:ec0 f2=OK:13c:ec0 
rxn_3415 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_0066 f1=OK:12c:ec1 f2=OK:14c:ec1 
rxn_3610 f1=OK:12c:ec1 f2=OK:12c:ec1 
rxn_3476 f1=OK:15c:ec0 f2=OK:10c:ec1 
rxn_0163 f1=OK:12c:ec1 f2=OK:14c:ec1 
rxn_3605 f1=OK:17c:ec1 f2=OK:12c:ec1 
rxn_3439 f1=OK:16c:ec1 f2=OK:11c:ec1 
rxn_3391 f1=OK:12c:ec1 f2=OK:12c:ec1 
rxn_0045 f1=OK:16c:ec0 f2=OK:12c:ec1 
rxn_0038 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_0035 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_0051 f1=OK:13c:ec0 f2=OK:17c:ec1 
rxn_3603 f1=OK:18c:ec1 f2=OK:10c:ec1 
rxn_3475 f1=OK:15c:ec0 f2=OK:10c:ec1 
rxn_3361 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3385 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_0263 f1=OK:15c:ec1 f2=OK:14c:ec1 
rxn_3690 f1=OK:17c:ec1 f2=OK:12c:ec1 
rxn_0079 f1=OK:14c:ec1 f2=OK:13c:ec0 
rxn_3552 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3388 f1=OK:12c:ec1 f2=OK:16c:ec1 
rxn_3575 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3433 f1=OK:14c:ec1 f2=OK:11c:ec1 
rxn_3624 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_0046 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_3467 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_0044 f1=OK:16c:ec0 f2=OK:12c:ec1 
rxn_3379 f1=OK:15c:ec0 f2=OK:10c:ec1 
rxn_0078 f1=OK:15c:ec1 f2=OK:13c:ec0 
rxn_0052 f1=OK:13c:ec0 f2=OK:17c:ec1 
rxn_3435 f1=OK:15c:ec1 f2=OK:10c:ec1 
rxn_3432 f1=OK:11c:ec1 f2=OK:14c:ec1 
rxn_0092 f1=OK:14c:ec1 f2=OK:14c:ec0 
rxn_0062 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3390 f1=OK:10c:ec1 f2=OK:14c:ec1 
rxn_3547 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3383 f1=OK:12c:ec1 f2=OK:15c:ec1 
rxn_0069 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_0173 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_3489 f1=OK:16c:ec1 f2=OK:12c:ec1 
rxn_0061 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_0135 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_0050 f1=OK:13c:ec0 f2=OK:10c:ec1 
rxn_3485 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_3437 f1=OK:11c:ec1 f2=OK:15c:ec0 
rxn_0134 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_3355 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3484 f1=OK:14c:ec1 f2=OK:13c:ec1 
rxn_0125 f1=OK:13c:ec0 f2=OK:13c:ec0 
rxn_0136 f1=OK:15c:ec1 f2=OK:10c:ec1 
rxn_0165 f1=OK:14c:ec1 f2=OK:11c:ec1 
rxn_3517 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3601 f1=OK:15c:ec0 f2=OK:12c:ec1 
rxn_3606 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_0074 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_3455 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_0422 f1=OK:15c:ec1 f2=OK:13c:ec1 
rxn_0106 f1=OK:13c:ec0 f2=OK:14c:ec1 
rxn_3410 f1=OK:14c:ec1 f2=OK:11c:ec1 
rxn_3655 f1=OK:18c:ec1 f2=OK:12c:ec1 
rxn_0145 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_0068 f1=OK:15c:ec1 f2=OK:12c:ec1 
rxn_3496 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3420 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3579 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3421 f1=OK:18c:ec1 f2=OK:12c:ec1 
rxn_3417 f1=OK:16c:ec1 f2=OK:12c:ec1 
rxn_3560 f1=OK:16c:ec1 f2=OK:14c:ec1 
rxn_0077 f1=OK:14c:ec1 f2=OK:14c:ec1 
rxn_0137 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_0172 f1=OK:15c:ec1 f2=OK:16c:ec1 
rxn_0166 f1=OK:15c:ec0 f2=OK:14c:ec0 
rxn_0056 f1=OK:13c:ec0 f2=OK:11c:ec1 
rxn_3694 f1=OK:14c:ec1 f2=OK:12c:ec1 
rxn_3620 f1=OK:13c:ec0 f2=OK:16c:ec1 
rxn_3596 f1=OK:13c:ec0 f2=OK:14c:ec1 
rxn_3585 f1=OK:17c:ec0 f2=OK:11c:ec1 
rxn_3502 f1=OK:14c:ec1 f2=OK:11c:ec1 
rxn_0076 f1=OK:15c:ec0 f2=OK:14c:ec1 
rxn_0096 f1=OK:10c:ec1 f2=OK:15c:ec0 
rxn_0105 f1=OK:10c:ec1 f2=OK:16c:ec1 
rxn_3548 f1=OK:14c:ec1 f2=OK:11c:ec0 
rxn_0083 f1=OK:12c:ec1 f2=OK:15c:ec0 
rxn_3549 f1=OK:14c:ec1 f2=OK:10c:ec1 
rxn_3744 f1=OK:10c:ec1 f2=OK:12c:ec1 
rxn_3512 f1=OK:16c:ec1 f2=OK:10c:ec1 
rxn_3559 f1=OK:11c:ec1 f2=OK:15c:ec0 
rxn_3748 f1=OK:16c:ec1 f2=OK:12c:ec1 
