arm,channel,metric,point,ci_low,ci_high
ridge_delta,disp,R2,0.9377419122611521,0.9243157030831575,0.9486572273925901
ridge_delta,disp,slope,0.950430596570348,,
ridge_delta,barrier,NMAE,0.37052507433599935,0.34565604177811576,0.39722265237309135
ridge_delta,barrier,RMSE,14.142222533080153,13.10161757465689,15.151835997668448
ridge_delta,barrier,R2,0.835229344373059,0.8092482121729849,0.8578185582656495
ridge_delta,barrier,slope,0.8596098942378567,,
ridge_delta,barrier,rho_cancellation,0.18344809351301433,,
xgb_delta,strain,NMAE,0.3907382091015458,0.36318873528031687,0.42036712575749335
xgb_delta,strain,RMSE,12.997901827079975,12.034993434201976,13.94778675957852
xgb_delta,strain,R2,0.7907745924002868,0.7628853331002095,0.8181639470626543
xgb_delta,strain,slope,0.7861879680531765,,
xgb_delta,Pauli,NMAE,0.2694376059475135,0.24557455561597955,0.29502502316206636
xgb_delta,Pauli,RMSE,36.622806754783724,32.56809824109792,40.97393472974739
xgb_delta,Pauli,R2,0.8954503300137373,0.8752796899555699,0.9140950172128436
xgb_delta,Pauli,slope,0.8645161498440764,,
xgb_delta,elst,NMAE,0.3052129212736606,0.2783069329213401,0.3333971293062406
xgb_delta,elst,RMSE,18.190689074047857,16.335526594144287,19.95120553601316
xgb_delta,elst,R2,0.8686669455534431,0.846131610958154,0.8904934627652488
xgb_delta,elst,slope,0.8478026519705385,,
xgb_delta,oi,NMAE,0.21369663701648892,0.1947695370364573,0.23502976666223716
xgb_delta,oi,RMSE,19.6859316126327,17.38169306757602,22.12270932761487
xgb_delta,oi,R2,0.9287471698849187,0.9125407729315104,0.9425630147563702
xgb_delta,oi,slope,0.909766387201909,,
xgb_delta,disp,NMAE,0.15517275181369403,0.141441802723565,0.1715296746102545
xgb_delta,disp,RMSE,1.5715197150857876,1.3758524256381488,1.8182340407464792
xgb_delta,disp,R2,0.9553185313833558,0.9433799205991802,0.9648460510144008
xgb_delta,disp,slope,0.9574711396139245,,
xgb_delta,barrier,NMAE,0.39298884623988345,0.36743000406972093,0.4219253986470934
xgb_delta,barrier,RMSE,15.382210886478083,14.299376321238473,16.527030557052193
xgb_delta,barrier,R2,0.8050684848064337,0.7756678399675145,0.8321693266084377
xgb_delta,barrier,slope,0.8473290542625017,,
xgb_delta,barrier,rho_cancellation,0.27642938819433593,,
xgb_24d,strain,NMAE,0.3928994194751083,0.36541124222856913,0.42266890998591744
xgb_24d,strain,RMSE,13.050022146210356,12.094968122624342,14.015418273600616
xgb_24d,strain,R2,0.7890932812252096,0.7616924006823663,0.8164279595231403
xgb_24d,strain,slope,0.783206533789007,,
xgb_24d,Pauli,NMAE,0.27162079041099485,0.24843271134616698,0.29755397828093577
xgb_24d,Pauli,RMSE,36.69501359632883,32.626444818345774,41.085218419240555
xgb_24d,Pauli,R2,0.8950376558217623,0.8749041581372041,0.9138001897336521
xgb_24d,Pauli,slope,0.863793185741325,,
xgb_24d,elst,NMAE,0.307279340682109,0.28200558842391993,0.33594815826883734
xgb_24d,elst,RMSE,18.255238044805303,16.411111046938082,20.029713529129417
xgb_24d,elst,R2,0.8677332311299129,0.844693052870597,0.8893736610250209
xgb_24d,elst,slope,0.8450173941399657,,
xgb_24d,oi,NMAE,0.21483900568117886,0.1960249300450906,0.2356537558339895
xgb_24d,oi,RMSE,19.71988173795332,17.41950208814402,22.171257403949873
xgb_24d,oi,R2,0.9285011943846904,0.9119933406630796,0.9423730543804426
xgb_24d,oi,slope,0.9093411835292601,,
xgb_24d,disp,NMAE,0.15622265255990028,0.14236607741362328,0.17309082491979372
xgb_24d,disp,RMSE,1.5860962627623747,1.3896589424759846,1.8353279997400591
xgb_24d,disp,R2,0.9544858060821365,0.9417635546778635,0.9642579768634622
xgb_24d,disp,slope,0.952806207904508,,
xgb_24d,barrier,NMAE,0.39498182534061677,0.369921879096335,0.4228799159784902
xgb_24d,barrier,RMSE,15.428912805857939,14.368680479416014,16.53865266652353
xgb_24d,barrier,R2,0.8038830250820312,0.7744442984580782,0.8313719505971524
xgb_24d,barrier,slope,0.8474065034864952,,
xgb_24d,barrier,rho_cancellation,0.2748522257903217,,
