variant,fold,member,channel,MAE,RMSE,NMAE,R2,slope
M_delta,2,4,barrier,25.101847076491946,35.250839826656005,0.7112577372429613,0.38390232900614807,0.32303469826933506
M_delta,3,0,strain,16.813370859547025,35.07144978314988,0.786969142585071,0.006005209690595703,0.14920110081538557
M_delta,3,0,Pauli,68.35242417815384,110.95598944797767,0.651215055791411,0.28811296582618584,0.37798672919955967
M_delta,3,0,V_elst,27.365292628099965,42.465581826256866,0.643580947913889,0.35094234203272745,0.4985812792391702
M_delta,3,0,oi,55.32898070554065,91.61042820466803,0.6859722183642554,0.23629214716341307,0.31075485912923334
M_delta,3,0,disp,1.4856615833416107,2.3454040293675713,0.3005303893445939,0.8631196937507344,0.9781055517600005
M_delta,3,0,barrier,21.67480621444192,33.25877042910531,0.6548988681360628,0.44868390429475236,0.3443928923141987
M_delta,3,1,strain,16.434524469314866,32.5302941694296,0.7692368019745527,0.14482961785554427,0.1625000456906926
M_delta,3,1,Pauli,74.23789538243774,116.6683303012237,0.7072877921243158,0.21292603508521812,0.2217300527154988
M_delta,3,1,V_elst,33.398847376465035,45.48439371883951,0.7854789695069709,0.25538129576938695,0.3273145293907337
M_delta,3,1,oi,57.99048395521322,98.62278145004065,0.718969704764339,0.11490085036180353,0.1505520251685976
M_delta,3,1,disp,4.84989159577971,7.733350256475503,0.9810712115745714,-0.4881304232030419,-0.06661224555517255
M_delta,3,1,barrier,33.494133329695195,45.26871132815497,1.0120168913990242,-0.021373430662739112,-0.0100844913629974
M_delta,3,2,strain,16.81876558558956,33.91698569723836,0.787221648936334,0.07036778205824235,0.15568019673414588
M_delta,3,2,Pauli,69.58568325164212,112.9522267275956,0.6629647030936588,0.2622670590408751,0.294873778415666
M_delta,3,2,V_elst,33.564832441366406,47.26223817067856,0.7893826305004983,0.19603398714942122,0.4775796647307586
M_delta,3,2,oi,55.36030950060316,95.0611388138418,0.686360634756057,0.1776750722971222,0.23294584899918974
M_delta,3,2,disp,1.7152045547582542,2.534569487957812,0.34696400474171263,0.8401494852597031,0.886510982311492
M_delta,3,2,barrier,32.30384545569207,45.300192935356,0.9760526399206725,-0.022794529560301813,0.023363015068668568
M_delta,3,3,strain,18.308646609069434,35.662499958696344,0.8569572421969773,-0.027780179810465544,0.10503067558261535
M_delta,3,3,Pauli,73.25604306360718,118.97955472424798,0.6979333760919064,0.18143294711859137,0.2516562173806384
M_delta,3,3,V_elst,33.1174812104292,47.34484889701882,0.7788617589289888,0.19322099038733032,0.42637550313360895
M_delta,3,3,oi,58.560392510359456,98.5447917755367,0.7260354672427589,0.11630014776734254,0.19249786316617695
M_delta,3,3,disp,1.7812015213024843,2.7436718566784646,0.36031434931109163,0.8126861150611053,0.7586972652193502
M_delta,3,3,barrier,31.292200503835254,44.334413113348994,0.945486039814917,0.020351628951545186,0.033390963006037035
M_delta,3,4,strain,16.503574875509663,34.92085878353697,0.7724687855792809,0.014522981560157078,0.20645262815213336
M_delta,3,4,Pauli,70.55847653917446,117.57507815178874,0.6722328108839946,0.20064419338606798,0.3559863981917358
M_delta,3,4,V_elst,29.662613598404416,47.413049838709746,0.697609677948838,0.19089496251932614,0.4341847155966239
M_delta,3,4,oi,56.74250699608189,94.18664259699618,0.7034972071291699,0.19273511356473016,0.29528915338377265
M_delta,3,4,disp,1.43877126988332,2.233231291859814,0.2910450769974751,0.8758996394131289,0.9267385338959979
M_delta,3,4,barrier,23.797806880276674,34.38755643192298,0.7190448041758922,0.41062606496374054,0.3606652825260479
M_delta,4,0,strain,14.77667206678635,28.97821857789784,0.6486744200983313,0.18636377935700865,0.28098144278837756
M_delta,4,0,Pauli,66.95465801312373,103.90633527138804,0.7472906716057057,0.16818793747715144,0.4106100564910285
M_delta,4,0,V_elst,29.045738400557102,44.07768520387379,0.7341932365811892,0.19529942352044083,0.42904982929418806
M_delta,4,0,oi,51.826706187847336,82.37536953742853,0.7495717912640557,0.13381928224729944,0.36436047630328494
M_delta,4,0,disp,1.3028310332924893,2.0468656424177984,0.24788069741523897,0.8992887199938974,0.8862454249078623
M_delta,4,0,barrier,20.256914322765972,29.583238041047757,0.6279855349586757,0.5198555078609794,0.4215073943703923
M_delta,4,1,strain,19.299927704322798,32.20221831696192,0.8472387662768265,-0.00475109004373353,0.1271297989486062
M_delta,4,1,Pauli,65.12832877918696,101.07880081022803,0.7269067455234571,0.2128430754731141,0.27207394203878743
M_delta,4,1,V_elst,31.677663557422466,46.03209711965723,0.8007207809221302,0.12235622600212837,0.3916939208913088
M_delta,4,1,oi,50.01544415110197,82.43421883082442,0.7233754336485265,0.1325812342351823,0.19692077534549177
M_delta,4,1,disp,1.8539777002655542,2.9202650550337443,0.35274358193074506,0.795004661082958,0.758840646304832
M_delta,4,1,barrier,31.05437653292066,42.77655266163332,0.9627181588025532,-0.0039038028320850238,0.011677994652384222
M_delta,4,2,strain,18.048035991497528,32.45688148016436,0.7922825401947619,-0.020705571338158757,0.1525353878694651
M_delta,4,2,Pauli,62.65338494838812,98.57145067580937,0.699283537633402,0.25141097655389066,0.3593078607830286
M_delta,4,2,V_elst,33.25538989519462,46.84988589610877,0.8406011926504856,0.09089545370412955,0.48604821375985113
M_delta,4,2,oi,49.07810666163763,78.39455836076465,0.7098186828403594,0.21551328108711576,0.30358929707725446
M_delta,4,2,disp,1.6107550838436835,2.4820116020309433,0.3064672880406247,0.8519163679617908,0.8433864517027224
M_delta,4,2,barrier,30.216441265092445,42.107855041294975,0.9367412889277346,0.02723760452367141,0.05172331621822501
M_delta,4,3,strain,20.066647991155968,33.24509238265883,0.8808966721429947,-0.0708829259033692,0.08808790341071743
M_delta,4,3,Pauli,69.68683122365903,104.62578017968139,0.7777848539976737,0.15662916671288185,0.2456146989234171
M_delta,4,3,V_elst,35.3830186678813,47.419907210548594,0.8943815659816776,0.06863877256896278,0.3627430923990006
M_delta,4,3,oi,53.430890378279564,82.90804227384008,0.7727731734391344,0.12258090780432152,0.20064769414873776
M_delta,4,3,disp,1.582997790704935,2.5018162029143185,0.30118609884128245,0.8495437458877979,0.801286430502459
M_delta,4,3,barrier,30.301419763037792,42.26246129946077,0.9393757112608644,0.020081160445226565,0.033703543953260626
M_delta,4,4,strain,15.44568350376227,29.268144686747362,0.6780430495135396,0.17000152847909333,0.27636184692160887
M_delta,4,4,Pauli,61.02305095012371,94.01275999877335,0.6810871428692644,0.31905072149596325,0.4525886320865458
M_delta,4,4,V_elst,27.853760502277275,40.794924370074945,0.7040634427022178,0.310698824245353,0.47863025120679026
M_delta,4,4,oi,45.60898795647499,75.10393433909125,0.6596446757847818,0.27998899191479343,0.3772862000997783
M_delta,4,4,disp,1.6031389521100583,2.5510925305626935,0.30501821905355403,0.8435585381109856,0.9562063652442104
M_delta,4,4,barrier,22.29789133771108,32.16251383607581,0.6912579575076622,0.4324808675108236,0.35144359116099194
M_bdelta,0,0,strain,16.64567121769647,22.57883741515994,0.8485884725329604,0.16638792634230737,0.402962574877544
M_bdelta,0,0,Pauli,76.1721388139065,110.91612949337528,0.7317882303179012,0.26926726033031245,0.43634807730755193
M_bdelta,0,0,V_elst,31.905619386606997,44.51161984866436,0.7423234419789577,0.29539529037338796,0.5165258470317499
M_bdelta,0,0,oi,59.76196942764258,90.74782118928606,0.7340217400528708,0.22980738157687797,0.3551620055042959
M_bdelta,0,0,disp,1.4658562756559383,1.9050328326610286,0.28099935344902277,0.922495827733471,0.9540041801182931
M_bdelta,0,0,barrier,17.55668245677678,23.453422050585502,0.5563913131522578,0.7006716559568245,0.6866564919853699
M_bdelta,0,1,strain,16.709635257720947,22.732504645617958,0.8518493291431584,0.15500250694403217,0.395313893276363
M_bdelta,0,1,Pauli,78.6200706194032,114.04338151571895,0.7553055912818588,0.22748072199329616,0.3861969016007315
M_bdelta,0,1,V_elst,32.79011944629861,45.07651672978944,0.7629024227780732,0.27739753172485326,0.4915059209512264
M_bdelta,0,1,oi,62.22334459667686,93.80810619799695,0.7642533890731554,0.17698514188795622,0.325774547826012
M_bdelta,0,1,disp,1.4601311454514287,1.8864888122415884,0.2799018666676814,0.9239973700944002,0.9563929117658106
M_bdelta,0,1,barrier,19.39222274144303,25.70942609878346,0.6145616805803659,0.6403167865103423,0.6873413901551536
