arm,family,channel,metric,point,ci_low,ci_high
xgb28_delta,dipolar,elst,NMAE,0.1477532205159073,0.12230721315029927,0.1786946426297283
xgb28_delta,dipolar,elst,RMSE,13.459168900495504,9.525954753734766,17.583494970717975
xgb28_delta,dipolar,elst,R2,0.9552142745334222,0.9309518300237695,0.9753182428693519
xgb28_delta,dipolar,elst,slope,0.9190643633813113,,
xgb28_delta,dipolar,oi,NMAE,0.09286105124470308,0.07529564768479922,0.11309645896813948
xgb28_delta,dipolar,oi,RMSE,13.789869155227922,9.822127951948291,18.041670368210433
xgb28_delta,dipolar,oi,R2,0.9783562386651273,0.965237978357493,0.9883017892052827
xgb28_delta,dipolar,oi,slope,0.9566027380961559,,
xgb28_delta,dipolar,disp,NMAE,0.3827110753933308,0.33329981802753006,0.4389139606473895
xgb28_delta,dipolar,disp,RMSE,2.4007748789898504,1.913506217226631,2.9980184194471144
xgb28_delta,dipolar,disp,R2,0.8250061523558649,0.7645380726209982,0.8771194203093837
xgb28_delta,dipolar,disp,slope,0.8721868212828765,,
xgb28_delta,dipolar,barrier,NMAE,0.9860346772134952,0.8527690834887357,1.1215051998843486
xgb28_delta,dipolar,barrier,RMSE,11.98892844481862,9.996944472782726,13.866074428792622
xgb28_delta,dipolar,barrier,R2,0.09142901061367881,-0.3038805445498951,0.34084296381562385
xgb28_delta,dipolar,barrier,slope,0.40906965331464534,,
xgb_28d,qmrxn20_e2,strain,NMAE,0.22568606622606677,0.1836862164167819,0.28717270481954466
xgb_28d,qmrxn20_e2,strain,RMSE,5.744200710474476,3.498072211048755,8.540693275469419
xgb_28d,qmrxn20_e2,strain,R2,0.8920580353198967,0.8195125327183249,0.9506426939316803
xgb_28d,qmrxn20_e2,strain,slope,0.8398737554015766,,
xgb_28d,qmrxn20_e2,Pauli,NMAE,0.2309764464134632,0.19300441861560236,0.27700734842643354
xgb_28d,qmrxn20_e2,Pauli,RMSE,9.680327521125644,7.48555818678351,11.879150572858254
xgb_28d,qmrxn20_e2,Pauli,R2,0.9150952829781362,0.8873856372915098,0.9387595377671664
xgb_28d,qmrxn20_e2,Pauli,slope,0.8861162668887079,,
xgb_28d,qmrxn20_e2,elst,NMAE,0.3255336605041975,0.28056022222291566,0.3809033796218592
xgb_28d,qmrxn20_e2,elst,RMSE,6.735362591112675,5.265103530056991,8.327927646017033
xgb_28d,qmrxn20_e2,elst,R2,0.8770800559176523,0.8232716292859956,0.9131117944986813
xgb_28d,qmrxn20_e2,elst,slope,0.8588895483287858,,
xgb_28d,qmrxn20_e2,oi,NMAE,0.15841569223982177,0.13133181875045105,0.1872148297717146
xgb_28d,qmrxn20_e2,oi,RMSE,6.737095117628311,5.166058853568831,8.268066499168116
xgb_28d,qmrxn20_e2,oi,R2,0.9602282698450536,0.9443842410022405,0.9741746573497461
xgb_28d,qmrxn20_e2,oi,slope,0.9108860912503873,,
xgb_28d,qmrxn20_e2,disp,NMAE,0.22809746161931524,0.18949956012480823,0.27341565663500716
xgb_28d,qmrxn20_e2,disp,RMSE,0.24597569637878663,0.1812189388906432,0.31685888885969443
xgb_28d,qmrxn20_e2,disp,R2,0.9194924294273317,0.8802919029067107,0.9530167103312577
xgb_28d,qmrxn20_e2,disp,slope,0.8708703185445218,,
xgb_28d,qmrxn20_e2,barrier,NMAE,0.44641456910659744,0.3889135646123892,0.5040887314232324
xgb_28d,qmrxn20_e2,barrier,RMSE,6.672487653182347,5.786946232578077,7.57819769861148
xgb_28d,qmrxn20_e2,barrier,R2,0.7843856730628507,0.7140186461977049,0.8385658580314931
xgb_28d,qmrxn20_e2,barrier,slope,0.8128938121647723,,
xgb28_delta,qmrxn20_e2,strain,NMAE,0.22897554190815314,0.18693856326267558,0.2842608421867022
xgb28_delta,qmrxn20_e2,strain,RMSE,5.571201304094712,3.573445997598145,8.084463904168212
xgb28_delta,qmrxn20_e2,strain,R2,0.8984619525034698,0.8409846512116133,0.948457682473529
xgb28_delta,qmrxn20_e2,strain,slope,0.8477272610792664,,
xgb28_delta,qmrxn20_e2,Pauli,NMAE,0.22928616169500288,0.19186414641533764,0.2746132091188586
xgb28_delta,qmrxn20_e2,Pauli,RMSE,9.408726842057778,7.362696116340422,11.518589837774053
xgb28_delta,qmrxn20_e2,Pauli,R2,0.9197927850725895,0.8941881841473277,0.9414039083118387
xgb28_delta,qmrxn20_e2,Pauli,slope,0.8954357819907789,,
xgb28_delta,qmrxn20_e2,elst,NMAE,0.3039093356769959,0.2599313206925701,0.3547748402709838
xgb28_delta,qmrxn20_e2,elst,RMSE,6.27791116914486,4.871492608641481,7.795833494459678
xgb28_delta,qmrxn20_e2,elst,R2,0.8932099658049344,0.8460269268587889,0.9278963138093828
xgb28_delta,qmrxn20_e2,elst,slope,0.8862236062021518,,
xgb28_delta,qmrxn20_e2,oi,NMAE,0.16008132607349454,0.13299615636811438,0.18942557971133922
xgb28_delta,qmrxn20_e2,oi,RMSE,6.712832587493416,5.139371825195643,8.22231189717172
xgb28_delta,qmrxn20_e2,oi,R2,0.9605142165944702,0.9447298910430434,0.974501166713105
xgb28_delta,qmrxn20_e2,oi,slope,0.9134897579044718,,
xgb28_delta,qmrxn20_e2,disp,NMAE,0.200050468081328,0.16654620080623148,0.24062980388127614
xgb28_delta,qmrxn20_e2,disp,RMSE,0.2141784871350437,0.1514941201170752,0.28200632090821576
xgb28_delta,qmrxn20_e2,disp,R2,0.9389614768709685,0.906243927447595,0.9650752271472881
xgb28_delta,qmrxn20_e2,disp,slope,0.9468624503698401,,
xgb28_delta,qmrxn20_e2,barrier,NMAE,0.44992182391125773,0.3966076527454805,0.502402861077244
