rxn_id,elst_dft,pauli_dft,oi_dft,disp_dft,cpcm_dft,cds_dft,e_bond_kcal,e_frag1_dist_eh,e_frag1_rel_eh,e_frag2_dist_eh,e_frag2_rel_eh,d1_b3lyp,d2_b3lyp,sum_dist_b3lyp
1853,-25.005450333302893,69.80546407181015,-32.54044096294157,-20.487596540035863,-8.854192564541941,-3.1384216165147647,-20.199511395810756,-781.539831032524,-781.571258026068,-1302.948247201315,-1302.971131253194,19.720736190154607,14.35995935897278,34.080695549127384
1878,-38.621265170999266,100.04222896287547,-47.97696368371812,-20.717075499681787,-9.923496318762322,-2.23593542013595,-19.4282613385695,-762.410352134012,-762.446144867927,-2846.09895350496,-2846.117933347089,22.460279634319292,11.910030752347355,34.370310386666645
1906,-18.490662347561905,78.60465367392393,-41.562267600652724,-17.80900671250653,-8.166779781065829,-4.435768463202522,-11.851919215110911,-493.299927106239,-493.314964251018,-766.686065068762,-766.699393034525,9.435950811681455,8.363424786260332,17.799375597941786
1913,-64.86334798558168,147.46881946087495,-75.01676515616157,-21.131000766326032,-2.0757178814406845,-2.069910720514862,-17.682840096908034,-720.463836387955,-720.482326052354,-592.763768631775,-592.78827860746,11.602439582618889,15.380241951442498,26.982681534061385
1967,-19.41321905796294,75.19607291357866,-30.30895295345209,-21.166543216691704,-15.564357193806162,-4.07634672419603,-15.329162689617625,-704.840010250112,-704.86013640738,-653.157400020852,-653.184311106051,12.629354362159937,16.886960919693983,29.51631528185392
1986,-73.99723476316345,156.97906201088125,-75.74407543125524,-21.577070519533894,-9.94500044092899,-2.335067421569069,-26.607819118675454,-721.211884143591,-721.239386687409,-652.848633755623,-652.869116747299,17.25810680666767,12.853271333830767,30.111378140498438
2016,-16.39564240020093,52.91074933067461,-22.584704838926513,-20.421549787369877,-8.283735624351184,-2.5297703081699985,-17.293407780055425,-648.368202940079,-648.386853153336,-872.268748076869,-872.278366017099,11.703185512094057,6.035348615289313,17.73853412738337
2021,-43.013449210669364,97.47321647123171,-46.79136447718289,-23.154524794250147,-1.9112928289708784,-3.0618758145853886,-20.458557409606538,-701.021969361733,-701.05647788559,-652.854090017581,-652.869156287525,21.654425656181747,9.454227128643534,31.10865278482528
2097,-53.25346212391143,122.86672933095626,-59.53793273459819,-22.22709697880575,-4.691168584203049,-1.478489128052289,-18.317713206396423,-587.723068507505,-587.762152313118,-840.745419068283,-840.766021250151,24.525458304609256,12.928064308514264,37.45352261312352
2099,-24.29476441570178,63.766284090742,-24.32008461123307,-16.875507178142044,-6.45599003426654,-1.1703482790285495,-9.3426715415392,-717.65447271191,-717.659089467721,-667.908089247837,-667.927460429107,2.8970580108115946,12.155599770720578,15.052657781532172
