model,fold,member,channel,MAE,RMSE,NMAE,R2_det
m1,3,1,Velst,32.85240696783989,52.035283838035625,0.7586308049962622,0.18441071845480894
m1,3,1,oi,41.7087096944932,68.80450707288335,0.715052641628962,0.26059567569456554
m1,3,1,disp,1.8097052866412748,2.465215188590404,0.2958449296305137,0.8961364221323389
m1,3,1,barrier,16.33064812883254,23.138709337314584,0.5567417496620772,0.610286855124315
m1,3,2,strain,14.22485571292139,21.729801188190176,0.7497487496859262,0.2248870047114434
m1,3,2,Pauli,60.10164020599858,106.41733316753164,0.6528154275708914,0.30727454102420315
m1,3,2,Velst,32.051957227337745,49.79438971712819,0.7401467459259287,0.2531446747885241
m1,3,2,oi,38.57987169065783,65.52300429311653,0.6614119537184712,0.3294428239333954
m1,3,2,disp,1.8818155290619019,2.568475983648495,0.3076332853103291,0.8872530952952536
m1,3,2,barrier,16.624199438287366,23.478710144973913,0.5667494522561296,0.5987497999000411
m1,3,3,strain,14.430700819723068,22.353818917540348,0.7605982173057162,0.17972973326746666
m1,3,3,Pauli,62.04180512889739,108.0128869870306,0.6738892217195878,0.28634624565832767
m1,3,3,Velst,32.176676908616095,50.313838200418054,0.743026784283535,0.23748120729311062
m1,3,3,oi,40.49820606093253,66.905273053234,0.6942998102127147,0.3008523448316808
m1,3,3,disp,1.8159900163450549,2.496855377224086,0.2968723374801157,0.8934532062898872
m1,3,3,barrier,16.189872536543877,22.997922455089725,0.5519424514993712,0.6150148268474869
m1,3,4,strain,14.804471970373584,23.023827759791622,0.7802985544145374,0.12982106105035962
m1,3,4,Pauli,61.61044649616365,109.40762547888053,0.669203865890707,0.26779685241305073
m1,3,4,Velst,31.603603859870663,50.47171276082448,0.7297933287039484,0.23268844287311252
m1,3,4,oi,40.249927190811405,67.85527083384298,0.6900433260576989,0.28085678553683835
m1,3,4,disp,1.8489699371399417,2.5166497763662767,0.3022637912260964,0.891757161182732
m1,3,4,barrier,16.500582335072178,23.03774216340955,0.562535118459379,0.6136805090299162
m1,4,0,strain,16.89478973015662,24.604927771934697,0.7515224246497578,0.2733147280557404
m1,4,0,Pauli,56.791459339664826,90.42208446116565,0.661804666022985,0.34499951813120755
m1,4,0,Velst,28.39314996157923,41.33869970359306,0.6852288924101309,0.4291088540823874
m1,4,0,oi,41.61923504990916,67.85882611614092,0.6836098078402785,0.31463428543382665
m1,4,0,disp,2.097882285618013,3.955200696886927,0.3554478845705936,0.7286718079698461
m1,4,0,barrier,19.06826136804396,29.11600499708891,0.7041080120299278,0.40295586113228277
m1,4,1,strain,17.315665685553704,25.136070402042527,0.770244037852923,0.24160242192512393
m1,4,1,Pauli,61.28658821736612,95.69075537109855,0.7141874943606894,0.2664452115694831
m1,4,1,Velst,29.99118095021094,43.19960239784861,0.723795131304333,0.3765535117408144
m1,4,1,oi,44.27658069249122,71.60140929969658,0.7272575957420095,0.23695029148040092
m1,4,1,disp,2.251297103589581,3.4990335810579203,0.38144122694428756,0.7876491074124223
m1,4,1,barrier,19.238944714492366,29.40660119701156,0.7104106061382616,0.39097862924274196
m1,4,2,strain,17.29738928637197,25.204635702156526,0.769431057990711,0.23745931775011342
m1,4,2,Pauli,61.552936213247236,97.89656802205316,0.7172913122324178,0.23223638880191022
m1,4,2,Velst,29.9996795296669,44.09023241261672,0.7240002326120621,0.3505817935220671
m1,4,2,oi,44.15279269564536,72.48995904328017,0.7252243366339252,0.21789439427413304
m1,4,2,disp,2.270643295203486,3.5062337899854747,0.3847190862077943,0.7867742693219565
m1,4,2,barrier,19.321698180513998,29.43804199731583,0.7134663319500929,0.38967563230575786
m1,4,3,strain,17.14506077670282,25.445985909640658,0.7626551055960207,0.22278578703790475
m1,4,3,Pauli,57.97319469221176,91.52299972179648,0.6755757150400976,0.32895277839633286
m1,4,3,Velst,28.883182243762477,41.851239822504816,0.6970551349517301,0.4148646444166182
m1,4,3,oi,42.45063301094117,68.91746262954088,0.6972657964642485,0.29308328802883066
m1,4,3,disp,2.235069902289298,3.527256158223739,0.3786918236940534,0.7842097239912043
m1,4,3,barrier,19.316035036502345,29.376518161552585,0.7132572166566259,0.39222405301978625
m1,4,4,strain,16.5289966112183,24.916538363190842,0.7352510335253075,0.25479187533460124
m1,4,4,Pauli,55.41731685899919,91.55023279400358,0.6457914500208078,0.32855337286217656
m1,4,4,Velst,28.61062694787979,43.14798982216593,0.69047739476542,0.3780423428961469
m1,4,4,oi,39.8731148923597,67.70766276604165,0.6549292022516127,0.31768434658251465
m1,4,4,disp,2.248542037125557,3.5000172688425595,0.3809744311887763,0.7875296936734069
m1,4,4,barrier,19.491945359783788,29.42892497484115,0.7197528203003232,0.39005361120351645
