model,fold,member,channel,MAE,RMSE,NMAE,R2
m2,0,2,Velst,17.265422386728275,24.636740015939555,0.502704835211038,0.7195292269496085
m2,0,2,oi,24.028630394085198,33.74473997722241,0.4761156684454877,0.7526457124866346
m2,0,2,disp,1.0977892678254728,1.6142021981970172,0.1806378655194031,0.9552723605874186
m2,0,2,barrier,11.58089473198174,15.665470709918338,0.4040655593483075,0.8082059344005165
m2,0,3,strain,10.40925953323674,14.26414118633322,0.46417417874247185,0.7204359147124484
m2,0,3,Pauli,39.51200866091783,53.94793913395024,0.5411849830714275,0.7297006421167418
m2,0,3,Velst,17.047172992852083,22.952507978537486,0.4963502252208546,0.7565658939492691
m2,0,3,oi,24.59262011233409,32.02916060261192,0.4872908514374635,0.7771573138197706
m2,0,3,disp,1.3533133653698453,1.90892884019823,0.22268357403741107,0.9374482321999887
m2,0,3,barrier,10.569907405194204,14.143327749533347,0.3687915007244665,0.8436667060328757
m2,0,4,strain,9.810060982301737,13.631515114787344,0.43745445920854553,0.7446837956006702
m2,0,4,Pauli,37.66068570932765,52.65755827468567,0.5158279279843474,0.742476580528109
m2,0,4,Velst,16.434131807582393,22.17926111849014,0.4785007477440989,0.7726917082044686
m2,0,4,oi,22.889236599776396,31.032951937662638,0.4535391324922146,0.7908039653129331
m2,0,4,disp,1.3177832604213884,1.8741982887719904,0.21683720396651146,0.9397036277732949
m2,0,4,barrier,9.949155126597471,13.331895702317633,0.34713301729354046,0.8610904570573477
m2,1,0,strain,12.056508841787933,16.434062018790545,0.5438643979154965,0.6354390850863749
m2,1,0,Pauli,37.97236101186959,54.294644850891174,0.4450038055271461,0.769187319505184
m2,1,0,Velst,17.831278339313094,23.80490409821032,0.47924957024274056,0.7635955733037876
m2,1,0,oi,22.647849694938415,32.95729681458166,0.3944085523962179,0.7969450102941922
m2,1,0,disp,1.3276679370623485,2.12855200447096,0.22084938453385938,0.9262029178700111
m2,1,0,barrier,11.279791978229383,15.115549138067927,0.40531557878547136,0.8099439257200103
m2,1,1,strain,11.121162994652037,15.474296567536333,0.5016713126143716,0.6767771210634175
