fold,method,channel,NMAE,RMSE,R2,slope
1,gbm,barrier_direct,0.48212907475388583,20.191538376082768,0.7158231358398179,0.8849015863690186
1,rf,strain,0.7766254353769747,20.546689987182617,0.37982407358174963,0.37866433469515126
1,rf,Pauli,0.6602897836837848,82.25154113769531,0.5705724569676527,0.4729036118005411
1,rf,V_elst,0.7284814704012601,36.88481140136719,0.5014588125709231,0.4161254523728643
1,rf,oi,0.7777801174488749,67.60549926757812,0.3925505402058872,0.453089065835805
1,rf,disp,0.2669338523959868,2.231084108352661,0.9017527481147349,0.9021614672031714
1,rf,barrier_sum,0.6788338507620973,28.458147048950195,0.4355010736304895,0.8060152947625954
1,rf,barrier_direct,0.4582289751800896,19.38980611290307,0.7379423555763487,0.8851187544651654
2,ridge,strain,0.8767417071273391,28.095844268798828,0.06129772358347074,0.2011281367771903
2,ridge,Pauli,0.9006829357088272,120.03810119628906,0.11207839898767091,0.16051071802284964
2,ridge,V_elst,0.9289192479249938,50.050296783447266,0.11086617991595915,0.14976888690570136
2,ridge,oi,0.9189990803431959,103.24095916748047,0.07987246226997369,0.12375544867080612
2,ridge,disp,0.2663115500571223,1.8678828477859497,0.9309037038852868,0.9030729961462978
2,ridge,barrier_sum,0.5126134420737171,24.71404457092285,0.697170454463589,0.6764706840199612
2,ridge,barrier_direct,0.5126131178068143,24.714033126831055,0.6971707258534793,0.6764709800816597
2,lasso,strain,0.8833535519038244,28.27346420288086,0.04939147386454923,0.18980901572098832
2,lasso,Pauli,0.9154807131656325,121.66130828857422,0.08790232939318343,0.13069386071368574
2,lasso,V_elst,0.9299757151045387,50.56903839111328,0.09234004180424915,0.1244578595337101
2,lasso,oi,0.9329527498008278,103.92127227783203,0.06770606663358403,0.10850860377939464
2,lasso,disp,0.30132253745508064,2.1016485691070557,0.9125266709723736,0.8494543791331461
2,lasso,barrier_sum,0.5384341670091285,25.65239906311035,0.6737379358558646,0.6620165571517996
2,lasso,barrier_direct,0.5132914841674523,24.738157272338867,0.6965792685953639,0.6711711796173758
2,enet,strain,0.8715433795940273,27.940258026123047,0.07166549737999306,0.1851615893824983
2,enet,Pauli,0.909442338422032,121.03466033935547,0.09727418450828718,0.12462208639415838
2,enet,V_elst,0.924778287630635,50.42241668701172,0.09759581058857292,0.11226934258982028
2,enet,oi,0.9341629614895761,103.77410888671875,0.07034465978712556,0.1012654542242921
2,enet,disp,0.2859521098261771,1.9581929445266724,0.9240607309173743,0.8661570813564283
2,enet,barrier_sum,0.5246355834501956,24.80234718322754,0.695002567348362,0.6577225276208294
2,enet,barrier_direct,0.5137421070733637,24.752958297729492,0.6962160255631513,0.6710138228246398
2,krr,strain,0.8520329225699059,27.27518653869629,0.11533433077747146,0.2634295769880595
2,krr,Pauli,0.7522748923148387,104.99127197265625,0.320729442559585,0.4200771414262097
2,krr,V_elst,0.79850651694783,43.984920501708984,0.31330883047999714,0.410525646114159
2,krr,oi,0.7690362838965039,92.91295623779297,0.2547593649781228,0.3164799009170125
2,krr,disp,0.272257472583446,2.1313748359680176,0.9100346727260274,0.9266591220299614
2,krr,barrier_sum,0.49480319052690996,23.860485076904297,0.7177271284196236,0.7260406395998509
2,krr,barrier_direct,0.4703162834516439,24.239986419677734,0.7086766456564837,0.6448764105242828
2,gbm,strain,0.8150162953663178,26.163381576538086,0.18598676197063146,0.3005906436236715
2,gbm,Pauli,0.7138121772317931,99.31814575195312,0.39215399789935423,0.43190284081721086
2,gbm,V_elst,0.7332879764240627,39.20234680175781,0.454521064687222,0.42008596957782174
2,gbm,oi,0.7224418810725609,89.88642120361328,0.3025194131449913,0.3299386161097831
2,gbm,disp,0.23953676160644466,1.8197797536849976,0.9344167164126521,0.8915420081134203
2,gbm,barrier_sum,0.6663004432296206,32.138790130615234,0.4878824907433843,0.736707545221204
2,gbm,barrier_direct,0.4452702918177367,23.824243194954075,0.7185839715756026,0.7107041133990304
2,rf,strain,0.7905159573252821,25.527061462402344,0.2251005846906763,0.2850635699032238
2,rf,Pauli,0.7313388970476435,101.49002075195312,0.36527877319463,0.38002413760485565
2,rf,V_elst,0.7765251019353689,41.43362808227539,0.39065990266587225,0.3663674176105451
2,rf,oi,0.7340033153131483,90.38785552978516,0.2947158031041788,0.2853637464586217
2,rf,disp,0.24387274887982932,1.8512654304504395,0.9321276491431043,0.8813430134955952
2,rf,barrier_sum,0.5738526518223044,28.095264434814453,0.6086396428785368,0.7346623510081839
2,rf,barrier_direct,0.4371006125085272,23.29719015959949,0.7308975254150043,0.7095243537981535
3,ridge,strain,0.7971440363466156,28.146617889404297,0.35978018419829727,0.2855091905321747
3,ridge,Pauli,0.8411268185087474,118.42691040039062,0.18901955396921655,0.20156402012944885
3,ridge,V_elst,0.8753204717875823,47.125789642333984,0.20066946752944936,0.196025684891761
3,ridge,oi,0.8150386876697472,93.27273559570312,0.2083250617794511,0.18817733158560834
3,ridge,disp,0.306941759962528,2.0213634967803955,0.898329629007656,0.9506190686613274
3,ridge,barrier_sum,0.5863347259829037,26.283493041992188,0.6556861803222971,0.6592073545900414
3,ridge,barrier_direct,0.5863348412430204,26.28349494934082,0.6556860811161249,0.6592077018116436
3,lasso,strain,0.7932259067571219,28.241342544555664,0.35546375541328,0.26782656657584414
3,lasso,Pauli,0.8589735994815917,119.83206939697266,0.16966051121375003,0.1599503743195759
3,lasso,V_elst,0.9488549590241994,49.7800178527832,0.10809377416976373,0.07481194240292477
3,lasso,oi,0.8478233911494099,95.0538101196289,0.17780194118034032,0.14312494584245378
3,lasso,disp,0.30950621855587207,2.02069354057312,0.8983970149738852,0.9454434085574567
3,lasso,barrier_sum,0.7044575005982,31.17962646484375,0.5154594466001945,0.6014338466459088
3,lasso,barrier_direct,0.5791849680522009,26.179018020629883,0.6584179462774769,0.6446477079703627
3,enet,strain,0.8153196652913158,29.19906234741211,0.3110075026295315,0.23548043417871356
3,enet,Pauli,0.8801799310121501,121.19183349609375,0.15070946049843348,0.13402805541472929
3,enet,V_elst,0.9487041487712194,49.6605339050293,0.11237021938372427,0.07894124220299005
3,enet,oi,0.8722327421759402,96.13288879394531,0.15902829117763062,0.12082650899949893
3,enet,disp,0.31266599229608616,2.0373170375823975,0.8967184408090805,0.9458305054315063
3,enet,barrier_sum,0.6799976901872609,30.683422088623047,0.5307590720572126,0.5726485805878522
3,enet,barrier_direct,0.5802572329181049,26.25662612915039,0.6563897008914071,0.6437974118697011
3,krr,strain,0.8183453955147737,34.964569091796875,0.012054425309644512,0.12282265424801835
3,krr,Pauli,0.722195792184551,109.90982055664062,0.30147398288809013,0.35264494122097073
3,krr,V_elst,0.7471526602578739,42.520137786865234,0.34927359248334855,0.387093335442434
3,krr,oi,0.77046919245821,94.09259033203125,0.19434647382571224,0.2737064424802664
3,krr,disp,0.28797742649460345,1.8755009174346924,0.9124733880572643,0.9470766137613635
3,krr,barrier_sum,0.5490599500139925,25.204179763793945,0.6833835514976263,0.683430426413921
3,krr,barrier_direct,0.5354734908647136,24.97502326965332,0.6891147664617265,0.6688443413493904
3,gbm,strain,0.8150227344898517,33.024723052978516,0.11863654591116102,0.2058907456416692
3,gbm,Pauli,0.6103460695424566,96.39551544189453,0.46269211581854475,0.4093517834251922
3,gbm,V_elst,0.7038505150111825,40.244361877441406,0.4170662065617675,0.37815319149058113
3,gbm,oi,0.6329005002188334,81.66870880126953,0.3930557636525559,0.3478228014354684
3,gbm,disp,0.26596443899306255,1.880983591079712,0.9119609025966137,0.9760729710884604
3,gbm,barrier_sum,0.7449926394889459,34.55076599121094,0.40501817556278175,0.6987080281007435
3,gbm,barrier_direct,0.5216635530290938,24.835130035111977,0.6925877287404381,0.7299189097021134
3,rf,strain,0.7699541560625798,31.932504653930664,0.1759707873088251,0.20292477167431225
3,rf,Pauli,0.6242546335651948,95.55404663085938,0.4720318279829687,0.38235930259603007
3,rf,V_elst,0.7200248922146293,40.30894088745117,0.4151939140409653,0.35258464414227375
3,rf,oi,0.6620753760911042,81.61439514160156,0.3938628016557212,0.3178999782935106
3,rf,disp,0.2666806884560322,1.9140855073928833,0.9088349715171922,0.9707796031986181
