channel,seed,key,n_cand,top1,top3,spearman
d1_own_dft,42,*[C-]([H])[N+](=C(C(=O)N([H])C([H])([H])[H])C(=O)C([H])([H])[H])C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,False,True,0.39999999999999997
d1_own_dft,42,*[C-](C#N)[N+]#CC(=O)OC([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,5,True,True,0.9999999999999999
d1_own_dft,42,*[C-]([N+]#CC#N)C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*[C-](C#N)[N+]([H])=C(C(=O)N([H])C([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,7,True,True,0.8571428571428573
d1_own_dft,42,*C([H])=C(C([H])([H])[H])C([H])([H])[H].C[CH-][N+](C)=C(C(C)=O)c1ccccc1|CCCCN|water|298.15,4,True,True,0.7999999999999999
d1_own_dft,42,*C([H])=[N+]([C-](c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,15,True,True,0.9857142857142854
d1_own_dft,42,*C([H])=[O+][N-]C(=O)OC([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCNO|water|298.15,4,True,True,1.0
d1_own_dft,42,*[C-](C#N)[N+](=C(C(=O)N([H])C([H])([H])[H])C(=O)N([H])C([H])([H])[H])C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*c1oc(=O)[c-](C(=O)N([H])C([H])([H])[H])[n+]1[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,11,True,True,0.881818181818182
d1_own_dft,42,*C([H])=C(C([H])([H])[H])C([H])([H])[H].CC(=O)C#[N+][C-](C(C)=O)c1ccccc1|CCCCN|water|298.15,3,True,True,
d1_own_dft,42,*C(=O)C#[N+][C-](C(=O)C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].CC(C)=CC=O|CCCCN|water|298.15,3,True,True,
d1_own_dft,42,*C(=O)[C-]([N+]#CC#N)C(=O)C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,8,False,False,0.7142857142857144
d1_own_dft,42,*[C-]([N+]#CC#N)C(=O)C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,12,False,False,0.6643356643356644
d1_own_dft,42,*C#[N+][C-](C(=O)OC([H])([H])[H])C(=O)C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,10,False,False,0.8787878787878788
d1_own_dft,42,*C(C(=O)C([H])([H])[H])=[N+]([H])[N-]c1c([H])c([H])c([H])c([H])c1[H].C=C(C)/C=C/C=C(C)C|CCCNN|water|298.15,10,True,True,0.9636363636363635
d1_own_dft,42,*[C-]([N+]#CC#N)C(=O)N([H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,8,False,True,0.9285714285714287
d1_own_dft,42,*C(c1c([H])c([H])c([H])c([H])c1[H])=[N+]([N-][H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCNN|water|298.15,5,True,True,0.8999999999999998
d1_own_dft,42,*c1oc(=O)[c-](C(=O)N([H])C([H])([H])[H])[o+]1.C=C(C)/C=C/C=C(C)C|CCCCO|water|298.15,12,True,True,1.0
d1_own_dft,42,*[c-]1c(=O)oc(C(=O)C([H])([H])[H])[n+]1C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,10,True,True,0.8545454545454544
d1_own_dft,42,*[N-][N+]#CC(=O)N([H])C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCNN|water|298.15,3,True,True,
d1_own_dft,42,*C#[N+][C-](C#N)C([H])([H])[H].COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCCN|water|298.15,6,True,True,1.0
d1_own_dft,42,*C(C#N)=[N+]([C-](C(=O)N([H])C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*C(=[O+][N-]C(=O)OC([H])([H])[H])C(=O)N([H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCNO|water|298.15,3,True,True,
d1_own_dft,42,*C#[N+][C-](C(=O)N([H])C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*[C-](C(=O)N([H])C([H])([H])[H])[N+](=C(C#N)C#N)C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,8,False,True,0.7619047619047621
d1_own_dft,42,*[C-](C(=O)OC([H])([H])[H])[N+]([H])=C(C(=O)N([H])C([H])([H])[H])C(=O)N([H])C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,0.7999999999999999
d1_own_dft,42,*[C-]([N+]#CC#N)C(=O)N([H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,4,True,True,0.7999999999999999
d1_own_dft,42,*C#[N+][C-](C(=O)OC([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,7,True,True,0.8571428571428573
d1_own_dft,42,*[c-]1c(=O)oc(-c2c([H])c([H])c([H])c([H])c2[H])[n+]1[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,18,True,True,0.9834881320949431
d1_own_dft,42,*C(=O)C#[N+][N-]C#N.COC1=C(OC)C(=O)C(C)=C(C)C1=O|CCCNN|water|298.15,3,False,True,
d1_own_dft,42,*[C-](C(=O)N([H])C([H])([H])[H])[N+](=C(C#N)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H].CC(C)=CC=O|CCCCN|water|298.15,4,True,True,1.0
d1_own_dft,42,*C#[N+][C-](C(=O)OC([H])([H])[H])C(=O)OC([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,6,False,True,0.8285714285714287
d1_own_dft,42,*C([H])=[O+][C-](C#N)c1c([H])c([H])c([H])c([H])c1[H].CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,5,True,True,0.9999999999999999
d1_own_dft,42,*C(=O)[C-]([N+]#CC#N)c1c([H])c([H])c([H])c([H])c1[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,9,False,True,0.7166666666666667
d1_own_dft,42,*C#[N+][C-](C(=O)C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,9,False,True,0.9
d1_own_dft,42,*c1oc(=O)[c-](C(=O)OC([H])([H])[H])[n+]1C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,11,True,True,0.9727272727272729
d1_own_dft,42,*c1oc(=O)[c-](-c2c([H])c([H])c([H])c([H])c2[H])[n+]1[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,7,True,True,1.0
d1_own_dft,42,*C(=[N+]([H])[C-](C#N)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,8,True,True,0.9047619047619048
d1_own_dft,42,*[C-](c1c([H])c([H])c([H])c([H])c1[H])[N+]([H])=C(C([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,8,True,True,0.7857142857142858
d1_own_dft,42,*[C-]([O+]=C([H])C(=O)C([H])([H])[H])c1c([H])c([H])c([H])c([H])c1[H].C=C(C)/C=C/C=C(C)C|CCCCO|water|298.15,10,True,True,0.9878787878787878
d1_own_dft,42,*[N-][O+]=C(C(=O)OC([H])([H])[H])C(=O)N([H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCNO|water|298.15,4,False,True,0.6000000000000001
d1_own_dft,42,*[c-]1c(=O)oc(C#N)[n+]1C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,7,True,True,0.9642857142857145
d1_own_dft,42,*[N-][O+]=C([H])c1c([H])c([H])c([H])c([H])c1[H].CN1C=CCC(C(N)=O)=C1|CCCNO|water|298.15,5,True,True,0.8999999999999998
d1_own_dft,42,*C(C(=O)OC([H])([H])[H])=[N+]([H])[C-](C#N)C#N.C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,11,True,True,0.990909090909091
d1_own_dft,42,*[C-]([O+]=C([H])c1c([H])c([H])c([H])c([H])c1[H])C(=O)OC([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCO|water|298.15,10,True,True,0.9636363636363635
d1_own_dft,42,*[c-]1[o+]c(C(=O)OC([H])([H])[H])oc1=O.CN1C=CCC(C(N)=O)=C1|CCCCO|water|298.15,6,True,True,1.0
d1_own_dft,42,*C(c1c([H])c([H])c([H])c([H])c1[H])=[N+]([C-](C#N)C#N)C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,10,True,True,0.9999999999999999
d1_own_dft,42,*C([H])=C(C([H])([H])[H])C([H])([H])[H].CNC(=O)C(=[O+][N-]c1ccccc1)C(=O)OC|CCCNO|water|298.15,4,False,True,0.7999999999999999
d1_own_dft,42,*C([H])=C(C([H])([H])[H])C([H])([H])[H].COC(=O)[CH-][O+]=C(C(=O)OC)c1ccccc1|CCCCO|water|298.15,4,True,True,1.0
d1_own_dft,42,*C#[N+][C-](C(=O)C([H])([H])[H])C(=O)C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15,4,True,True,0.39999999999999997
d1_own_dft,42,*[C-]([N+]#CC(=O)N([H])C([H])([H])[H])C(=O)OC([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15,10,True,True,0.9151515151515152
d1_own_dft,42,*C(c1c([H])c([H])c([H])c([H])c1[H])=[N+]([N-]C(=O)C([H])([H])[H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCNN|water|298.15,7,True,True,0.9642857142857145
